subj,task,feature,match,RT_dual,RT_sing
R_VO1OFG6TLIlFTbj,gap,conj,mm,1.14,0.944
R_VO1OFG6TLIlFTbj,gap,conj,m,1.522,0.978
R_voSsFXEsEVlpeMx,gap,conj,m,0.925,1.228
R_voSsFXEsEVlpeMx,gap,conj,mm,1.045,1.343
R_VPabY1AJYIyCZPz,no_gap,conj,mm,1.069,1.115
R_VPabY1AJYIyCZPz,no_gap,conj,m,1.32,1.336
R_W8LdRMuNzFlfzfX,no_gap,conj,m,0.582,0.57
R_W8LdRMuNzFlfzfX,no_gap,conj,mm,0.594,0.628
R_WfBh84bVieh94u5,no_gap,conj,mm,0.92,1.414
R_WfBh84bVieh94u5,no_gap,conj,m,1.056,1.605
R_xaQjSryVetgbxMR,gap,conj,mm,1.262,1.236
R_xaQjSryVetgbxMR,gap,conj,m,1.269,1.375
R_xfUcAaPbjk0g6Jz,no_gap,conj,m,0.69,0.767
R_xfUcAaPbjk0g6Jz,no_gap,conj,mm,0.71,0.769
R_xiuZL8oQedG2nrb,gap,conj,mm,0.626,0.565
R_xiuZL8oQedG2nrb,gap,conj,m,0.857,0.581
R_Y050be3d1qTgt21,no_gap,conj,mm,0.709,0.95
R_Y050be3d1qTgt21,no_gap,conj,m,0.782,0.995
R_Y3NmOCLnLbfmdRT,gap,conj,m,0.608,0.672
R_Y3NmOCLnLbfmdRT,gap,conj,mm,0.619,0.69
R_ykWwfg34VBujl0B,gap,conj,m,0.775,0.789
R_ykWwfg34VBujl0B,gap,conj,mm,1.16,0.855
R_ykzlIRPd0KX2ZW1,no_gap,conj,mm,0.962,0.844
R_ykzlIRPd0KX2ZW1,no_gap,conj,m,1.12,1.161
R_ypQ4ZCs1p2l24eJ,no_gap,conj,m,0.601,0.915
R_ypQ4ZCs1p2l24eJ,no_gap,conj,mm,0.923,0.938
R_yPWGGeD3XC6CB0t,no_gap,conj,mm,0.707,0.818
R_yPWGGeD3XC6CB0t,no_gap,conj,m,0.774,0.91
R_yPWVvpu60ycQ8P7,gap,conj,mm,0.892,0.721
R_yPWVvpu60ycQ8P7,gap,conj,m,1.06,0.969
R_z0je8cRGh1eQ8Rb,gap,conj,mm,0.659,0.491
R_z0je8cRGh1eQ8Rb,gap,conj,m,1.035,0.751
R_Z9PxP0CExYG8397,gap,conj,m,0.447,0.498
R_Z9PxP0CExYG8397,gap,conj,mm,0.532,0.616
R_ZahaFNCfOgy05xL,gap,conj,m,1.068,1.057
R_ZahaFNCfOgy05xL,gap,conj,mm,1.278,1.149
R_ZaxZDyOScZVjzz3,gap,conj,m,0.602,0.866
R_ZaxZDyOScZVjzz3,gap,conj,mm,1.228,1.108
R_zZ3GrNWCcyKf98B,gap,conj,mm,0.914,0.814
R_zZ3GrNWCcyKf98B,gap,conj,m,0.92,0.905
R0Mv4w5vYeNCTls,no_gap,conj,mm,0.757,0.884
R0Mv4w5vYeNCTls,no_gap,conj,m,0.803,0.911
R0ZPMCCzcV8FG6A,no_gap,conj,mm,0.793,0.741
R0ZPMCCzcV8FG6A,no_gap,conj,m,1.186,1.208
R107Kbqwjw5sjVi,gap,conj,m,0.478,0.551
R107Kbqwjw5sjVi,gap,conj,mm,0.549,0.886
R1A0Opwy47DGP0D,gap,conj,m,0.601,0.738
R1A0Opwy47DGP0D,gap,conj,mm,0.665,0.922
R1ixygMv7kGQldy,gap,conj,m,0.575,0.722
R1ixygMv7kGQldy,gap,conj,mm,0.725,1.081
R240oKwSUYFSJUY,gap,conj,m,0.503,0.523
R240oKwSUYFSJUY,gap,conj,mm,0.624,0.827
R25qGAPsEKNgCik,gap,conj,mm,0.835,0.91
R25qGAPsEKNgCik,gap,conj,m,0.836,1.559
R2s68Ligswec1t3,no_gap,conj,m,0.521,0.551
R2s68Ligswec1t3,no_gap,conj,mm,0.542,0.627
R32mnWKrVorZxtV,gap,conj,m,1.042,1.393
R32mnWKrVorZxtV,gap,conj,mm,1.403,1.515
R3TwjQv7jVMZAHh,no_gap,conj,mm,1.465,1.486
R3TwjQv7jVMZAHh,no_gap,conj,m,1.539,1.535
R3UGi46yIwlgRIg,gap,conj,mm,0.729,0.623
R3UGi46yIwlgRIg,gap,conj,m,0.744,0.647
R3V6KyyFTKNSfr0,gap,conj,mm,1.108,0.838
R3V6KyyFTKNSfr0,gap,conj,m,1.215,1.167
R4f2Xj2zVejGVvr,gap,conj,m,0.616,0.63
R4f2Xj2zVejGVvr,gap,conj,mm,0.647,0.689
R4HieJfWwUqqVSw,no_gap,conj,m,1.239,1.059
R4HieJfWwUqqVSw,no_gap,conj,mm,1.348,1.096
R4jTtLg98nGv99c,no_gap,conj,mm,0.662,0.537
R4jTtLg98nGv99c,no_gap,conj,m,0.669,0.601
R4MjDzYaj8vSl2F,gap,conj,mm,0.906,1.027
R4MjDzYaj8vSl2F,gap,conj,m,1.13,1.333
R5BzCJwLFrqdpOi,no_gap,conj,m,1.569,2.602
R6aTxals5ya98Bn,gap,conj,mm,0.633,0.731
R6aTxals5ya98Bn,gap,conj,m,0.747,0.791
R7EkFokF3zDCAFg,no_gap,conj,m,0.642,0.761
R7EkFokF3zDCAFg,no_gap,conj,mm,0.692,0.812
R7HkygMlXuzFDss,no_gap,conj,mm,1.093,1.129
R7HkygMlXuzFDss,no_gap,conj,m,1.382,1.582
R7I2lMBC4C9HqXh,gap,conj,m,0.694,0.769
R7I2lMBC4C9HqXh,gap,conj,mm,0.729,0.78
R7IKiFTRUeouja1,gap,conj,m,0.984,1.298
R7IKiFTRUeouja1,gap,conj,mm,1.238,1.548
R7TjhkHUtsmEKXv,gap,conj,m,1.206,1.122
R7TjhkHUtsmEKXv,gap,conj,mm,1.399,1.483
R8B8ByTcmPbYYBi,no_gap,conj,m,0.858,0.783
R8B8ByTcmPbYYBi,no_gap,conj,mm,0.946,0.851
R90a4seCfd02VPe,no_gap,conj,mm,0.742,0.834
R90a4seCfd02VPe,no_gap,conj,m,0.869,0.873
R9buiFpEHzEyviM,gap,conj,m,0.52,0.429
R9buiFpEHzEyviM,gap,conj,mm,0.888,0.441
R9buJYsXisup2Mb,no_gap,conj,m,1.206,1.764
R9buJYsXisup2Mb,no_gap,conj,mm,2.045,1.845
RaDYCLDeHnDcoTK,no_gap,conj,mm,0.616,0.723
RaDYCLDeHnDcoTK,no_gap,conj,m,0.703,0.727
RAGbTgxStxS8OK7,gap,conj,mm,0.826,0.844
RAGbTgxStxS8OK7,gap,conj,m,0.845,0.866
RASEGOsJ8SHSVr5,gap,conj,mm,1.031,0.843
RASEGOsJ8SHSVr5,gap,conj,m,1.203,1.075
RAZHWSSUZ7gAeVu,no_gap,conj,m,1.641,1.425
RAZHWSSUZ7gAeVu,no_gap,conj,mm,1.738,1.984
RbHPDYy6X92e2YW,gap,conj,mm,0.795,0.589
RbHPDYy6X92e2YW,gap,conj,m,0.855,0.644
RBnRYuqRU9MgxDH,no_gap,conj,m,0.844,0.82
RBnRYuqRU9MgxDH,no_gap,conj,mm,0.935,0.959
RBPAkPhD282eIwa,no_gap,conj,mm,0.832,0.916
RBPAkPhD282eIwa,no_gap,conj,m,0.852,0.952
RBtIrCsNLg3M5Hv,no_gap,conj,m,0.992,1.073
RBtIrCsNLg3M5Hv,no_gap,conj,mm,1.061,1.187
RBu63NcF98ifXiE,gap,conj,mm,0.664,0.612
RBu63NcF98ifXiE,gap,conj,m,0.816,0.659
RBYsxPc3DVzRRdc,gap,conj,mm,1.169,1.197
RBYsxPc3DVzRRdc,gap,conj,m,1.179,1.221
RC4075atnBURXV9,gap,conj,m,0.592,0.571
RC4075atnBURXV9,gap,conj,mm,0.844,0.623
Rc6m9mRMP3vRtxF,no_gap,conj,m,0.788,0.95
Rc6m9mRMP3vRtxF,no_gap,conj,mm,0.85,1.448
RCa7oDDfGUuqpD2,gap,conj,mm,0.898,0.754
RCa7oDDfGUuqpD2,gap,conj,m,0.914,1.288
Rcc7FPRMpuGx2CV,no_gap,conj,m,0.458,0.645
Rcc7FPRMpuGx2CV,no_gap,conj,mm,0.513,1
RCDQa7qsN9RNzFH,no_gap,conj,mm,1.123,1.292
RCDQa7qsN9RNzFH,no_gap,conj,m,1.142,1.302
RCDt4ymTrZ6kFn0,no_gap,conj,mm,1.74,2.141
RCDt4ymTrZ6kFn0,no_gap,conj,m,2.11,2.154
RCJcSTbRoTUCqgI,no_gap,conj,m,0.981,1.009
RCJcSTbRoTUCqgI,no_gap,conj,mm,1.116,1.281
RcnGgIRvbYUU2JM,no_gap,conj,mm,0.841,1.002
RcnGgIRvbYUU2JM,no_gap,conj,m,1.057,1.104
RCTk31LB5KSXTUK,gap,conj,m,0.406,0.612
RCTk31LB5KSXTUK,gap,conj,mm,0.44,0.697
RcubeyiZDy5kcWK,gap,conj,m,0.768,0.821
RcubeyiZDy5kcWK,gap,conj,mm,0.958,0.909
RcUmxE0nB0eQ5tx,no_gap,conj,m,0.848,1.016
RcUmxE0nB0eQ5tx,no_gap,conj,mm,1.202,1.112
RcUnP5PoHL3kGw8,no_gap,conj,mm,1.085,1.096
RcUnP5PoHL3kGw8,no_gap,conj,m,1.169,1.272
RcvhE0HTQ1JO49j,no_gap,conj,m,1.296,1.021
RcvhE0HTQ1JO49j,no_gap,conj,mm,1.574,1.264
RcZYqPuI2ovCe8d,no_gap,conj,m,0.568,1.399
RcZYqPuI2ovCe8d,no_gap,conj,mm,0.654,1.408
RD5fuTu0fyLlRoG,gap,conj,m,0.723,0.605
RD5fuTu0fyLlRoG,gap,conj,mm,0.817,0.766
RdH0HFAfxeETPyV,gap,conj,mm,0.832,0.722
RdH0HFAfxeETPyV,gap,conj,m,0.904,0.785
Rdiq2w8gEnf5L8z,gap,conj,m,0.711,0.585
Rdiq2w8gEnf5L8z,gap,conj,mm,0.751,0.652
RDRKnOvAi7cEOEe,gap,conj,m,0.45,0.421
RDRKnOvAi7cEOEe,gap,conj,mm,0.492,0.796
RDuNzuDT2Ly6aYo,no_gap,conj,mm,0.985,0.903
RDuNzuDT2Ly6aYo,no_gap,conj,m,1.084,1.142
RDUQTsUdLXCAotg,gap,conj,mm,0.715,0.673
RDUQTsUdLXCAotg,gap,conj,m,0.857,0.705
RdYKuSke1t2VOfa,no_gap,conj,mm,0.642,0.644
RdYKuSke1t2VOfa,no_gap,conj,m,0.65,0.727
Re2xTrAELL35qnU,gap,conj,m,0.761,0.789
Re2xTrAELL35qnU,gap,conj,mm,1.051,1.136
REAwGG7T8u9elvy,gap,conj,m,0.452,0.473
REAwGG7T8u9elvy,gap,conj,mm,0.553,0.489
REd18J86Ydnz5JK,gap,conj,mm,0.947,0.722
REd18J86Ydnz5JK,gap,conj,m,1.415,1.216
REGbNncbkrLeOBn,gap,conj,m,0.794,1.32
REGbNncbkrLeOBn,gap,conj,mm,0.972,1.351
REj3yOyXSRu4rHj,no_gap,conj,m,0.44,0.602
REj3yOyXSRu4rHj,no_gap,conj,mm,0.497,0.613
ReK9C4dUWMG5UoE,no_gap,conj,mm,0.54,0.479
ReK9C4dUWMG5UoE,no_gap,conj,m,0.572,0.772
Rerta2V92H4drrE,no_gap,conj,m,1.117,1.503
Rerta2V92H4drrE,no_gap,conj,mm,1.312,1.991
Rex76BKICzdLpi3,no_gap,conj,m,0.815,1.09
Rex76BKICzdLpi3,no_gap,conj,mm,0.913,1.16
RF3O1RwVVn1ANjS,gap,conj,mm,1.071,0.635
RF3O1RwVVn1ANjS,gap,conj,m,1.228,0.704
Rf6VCNeHmcSqTrE,no_gap,conj,mm,0.575,0.51
Rf6VCNeHmcSqTrE,no_gap,conj,m,0.758,0.593
RfBULLTffGRBWLb,gap,conj,m,1.093,1.026
RfBULLTffGRBWLb,gap,conj,mm,1.163,1.263
RfD1bJjW95gw3LB,no_gap,conj,m,1.062,0.83
RfD1bJjW95gw3LB,no_gap,conj,mm,1.265,1.061
Rfd9g37kVcLlQon,gap,conj,m,0.81,0.716
Rfd9g37kVcLlQon,gap,conj,mm,0.868,0.828
RfesTAMA2X5bx5T,gap,conj,m,0.435,0.49
RfesTAMA2X5bx5T,gap,conj,mm,0.498,0.529
RfjeMABd9YtFdM2,gap,conj,mm,0.946,0.868
RfjeMABd9YtFdM2,gap,conj,m,1.008,0.878
RFkyCxrQzCKlVM3,gap,conj,mm,0.941,0.916
RFkyCxrQzCKlVM3,gap,conj,m,0.968,1.024
RflJVVkbxzk1i5c,no_gap,conj,m,0.522,0.741
RflJVVkbxzk1i5c,no_gap,conj,mm,0.529,0.768
RFlZaoI26lrL1xW,gap,conj,m,0.664,0.572
RFlZaoI26lrL1xW,gap,conj,mm,0.938,0.634
RFQy7LAFBlt3sbw,gap,conj,mm,0.986,1.073
RFQy7LAFBlt3sbw,gap,conj,m,1.059,1.183
RfvMbaH7XgyVyCF,gap,conj,mm,1.081,1.214
RfvMbaH7XgyVyCF,gap,conj,m,1.133,1.341
RFzvTdctlBl6mau,gap,conj,mm,0.945,1.012
RFzvTdctlBl6mau,gap,conj,m,1.033,1.335
Rg6KjG4gA3vEJF7,no_gap,conj,m,0.929,0.89
Rg6KjG4gA3vEJF7,no_gap,conj,mm,1.258,0.952
RGEw2ntVr6WT5FY,gap,conj,m,0.503,0.614
RGEw2ntVr6WT5FY,gap,conj,mm,0.587,0.992
RgGFiI9dwPgNWnF,gap,conj,mm,0.651,0.754
RgGFiI9dwPgNWnF,gap,conj,m,0.656,0.878
RgHKNsWNE1ugMUa,no_gap,conj,m,1.109,1.331
RgHKNsWNE1ugMUa,no_gap,conj,mm,1.155,1.427
RgTnf5neAjKhFhT,gap,conj,mm,1.137,0.884
RgTnf5neAjKhFhT,gap,conj,m,1.345,1.234
RH5WiYRCLXLoMr6,gap,conj,mm,0.851,0.835
RH5WiYRCLXLoMr6,gap,conj,m,1.04,0.916
RhKL5I25Q84xW4U,gap,conj,m,1.984,2.135
RhKL5I25Q84xW4U,gap,conj,mm,2.501,2.307
RHkLtKPGeWEXFwg,no_gap,conj,mm,0.751,0.937
RHkLtKPGeWEXFwg,no_gap,conj,m,0.906,1.246
RHpZbLVjg7CUvTk,no_gap,conj,m,0.934,0.967
RHpZbLVjg7CUvTk,no_gap,conj,mm,0.942,1.087
RhXp8VCud7SMiKb,gap,conj,mm,0.647,0.791
RhXp8VCud7SMiKb,gap,conj,m,0.662,0.885
Rhzkst2wvP8JIH4,no_gap,conj,mm,0.749,0.613
Rhzkst2wvP8JIH4,no_gap,conj,m,0.751,0.647
RIagvrDfWeu1SzI,gap,conj,mm,0.983,0.772
RIagvrDfWeu1SzI,gap,conj,m,1.412,0.859
RiffR2ZzRyikKgD,gap,conj,mm,0.781,0.564
RiffR2ZzRyikKgD,gap,conj,m,0.833,0.67
RIfTVw1P9JXGPqL,no_gap,conj,m,0.594,0.779
RIfTVw1P9JXGPqL,no_gap,conj,mm,1.163,0.85
RimoeufCHjjazMW,no_gap,conj,m,0.681,0.77
RimoeufCHjjazMW,no_gap,conj,mm,0.752,0.784
RIR8kofj9wFWdIF,no_gap,conj,m,1.24,1.404
RIR8kofj9wFWdIF,no_gap,conj,mm,1.377,1.413
RISOn43feC1HgrC,no_gap,conj,mm,0.958,0.937
RISOn43feC1HgrC,no_gap,conj,m,1.341,1.168
RIXVr7a4rbLclDy,no_gap,conj,mm,1.103,1.149
RIXVr7a4rbLclDy,no_gap,conj,m,1.443,1.597
RjCgwQdSLoXJHUV,no_gap,conj,m,1.384,1.023
RjCgwQdSLoXJHUV,no_gap,conj,mm,1.454,1.205
RjDKVL7IiGl9Yg2,no_gap,conj,m,1.283,1.292
RjDKVL7IiGl9Yg2,no_gap,conj,mm,1.435,1.542
RjE8xih7Lg9IirX,no_gap,conj,m,0.428,0.472
RjE8xih7Lg9IirX,no_gap,conj,mm,0.524,0.54
RjH3pdKIvdSHNIY,no_gap,conj,m,0.593,0.73
RjH3pdKIvdSHNIY,no_gap,conj,mm,0.735,0.78
RjrMskfuP7Mrr9S,gap,conj,m,0.421,0.576
RjrMskfuP7Mrr9S,gap,conj,mm,0.486,0.65
Rjrzi2l761541zF,no_gap,conj,mm,0.641,0.618
Rjrzi2l761541zF,no_gap,conj,m,0.673,0.868
RK2LTDdSTkk0CkO,gap,conj,mm,0.833,0.704
RK2LTDdSTkk0CkO,gap,conj,m,0.862,0.724
RK3eLYRF0WM0F1x,no_gap,conj,m,1.081,1.504
RK3eLYRF0WM0F1x,no_gap,conj,mm,1.353,1.756
RK6KGucq5uhaFzv,no_gap,conj,m,1.403,1.338
RK6KGucq5uhaFzv,no_gap,conj,mm,1.922,1.472
RK71a7Ou0dd9RDl,no_gap,conj,m,0.928,1.137
RK71a7Ou0dd9RDl,no_gap,conj,mm,0.959,1.245
RKkDDjZQonL8jXf,gap,conj,mm,1.198,1.245
RKkDDjZQonL8jXf,gap,conj,m,1.25,1.552
RKqDdYqdsxJyWIf,no_gap,conj,mm,0.628,0.735
RKqDdYqdsxJyWIf,no_gap,conj,m,0.758,0.846
Rlo8TnSLVLCPrMI,gap,conj,mm,1.024,0.919
Rlo8TnSLVLCPrMI,gap,conj,m,1.052,1.085
RLXmTvk5iLuGEaA,no_gap,conj,mm,0.652,0.709
RLXmTvk5iLuGEaA,no_gap,conj,m,0.691,0.77
RlzzukvJq3atYiQ,no_gap,conj,mm,0.604,0.525
RlzzukvJq3atYiQ,no_gap,conj,m,0.702,0.729
RmC4cBupoC4tHV4,no_gap,conj,mm,0.693,0.848
RmC4cBupoC4tHV4,no_gap,conj,m,0.772,0.865
RmIULYprIrOv92G,no_gap,conj,m,0.545,0.732
RmIULYprIrOv92G,no_gap,conj,mm,0.611,0.743
RmmFOe3uknXraci,no_gap,conj,mm,1.112,1.181
RmmFOe3uknXraci,no_gap,conj,m,1.174,1.611
RNex25Z07JEPqPT,gap,conj,mm,0.799,0.808
RNex25Z07JEPqPT,gap,conj,m,1.002,0.876
RnOO1BGaTXG8VNZ,no_gap,conj,m,1.081,0.803
RnOO1BGaTXG8VNZ,no_gap,conj,mm,1.354,1.17
RnOQ0qbgqQcSRz6,no_gap,conj,m,0.802,0.817
RnOQ0qbgqQcSRz6,no_gap,conj,mm,0.896,0.942
RoAMtAsotlpba75,gap,conj,m,0.702,0.55
RoAMtAsotlpba75,gap,conj,mm,0.88,0.582
RoBEFfxegvaFxqs,gap,conj,mm,0.677,0.782
RoBEFfxegvaFxqs,gap,conj,m,0.956,1.17
ROE6gsnJdCYDJNp,gap,conj,mm,1.072,1.066
ROE6gsnJdCYDJNp,gap,conj,m,1.548,1.407
ROJJIMbAOHmEsc6,gap,conj,mm,0.691,0.57
ROJJIMbAOHmEsc6,gap,conj,m,0.767,0.587
ROkOyQCupky29ws,no_gap,conj,m,0.646,0.665
ROkOyQCupky29ws,no_gap,conj,mm,0.924,0.882
Ronlnd0PSlmh0kP,gap,conj,m,0.817,1.258
Ronlnd0PSlmh0kP,gap,conj,mm,1.1,1.767
ROVnUIQoDvuoLoa,no_gap,conj,m,0.98,1.41
ROVnUIQoDvuoLoa,no_gap,conj,mm,1.08,1.538
ROy5gti2oOMkrmx,gap,conj,m,1.204,0.92
ROy5gti2oOMkrmx,gap,conj,mm,1.364,1.078
RP1NXSwrNBPPbSy,no_gap,conj,mm,1.141,1.251
RP1NXSwrNBPPbSy,no_gap,conj,m,1.5,1.373
RP5OftLBu8Xnm63,no_gap,conj,m,0.659,0.797
RP5OftLBu8Xnm63,no_gap,conj,mm,0.712,0.804
RPemspRhIIq93Jq,no_gap,conj,m,1.468,1.584
RPemspRhIIq93Jq,no_gap,conj,mm,1.687,1.686
RpJiC30bA23mBP9,no_gap,conj,m,0.79,0.97
RpJiC30bA23mBP9,no_gap,conj,mm,0.887,0.983
RpJPjmN0ZA5yTy2,gap,conj,m,1.659,1.283
RpJPjmN0ZA5yTy2,gap,conj,mm,2.023,1.498
RpMrEEZMbPml0WU,no_gap,conj,m,0.609,0.729
RpMrEEZMbPml0WU,no_gap,conj,mm,0.718,0.793
Rptx896QKfU4151,gap,conj,mm,0.843,0.855
Rptx896QKfU4151,gap,conj,m,1.175,0.988
RpukYYnbpsfMrZv,no_gap,conj,mm,0.71,0.646
RpukYYnbpsfMrZv,no_gap,conj,m,0.723,0.735
RPutYEFsewiz88m,gap,conj,mm,1.272,1.223
RPutYEFsewiz88m,gap,conj,m,1.57,1.268
RPXVhaM73VwX7i7,no_gap,conj,m,0.423,0.455
RPXVhaM73VwX7i7,no_gap,conj,mm,0.464,0.472
RPzXxMCgeJjWWLk,gap,conj,mm,0.623,0.918
RPzXxMCgeJjWWLk,gap,conj,m,0.682,0.974
RQ0nnQSbpfMIzl8,gap,conj,m,1.849,1.661
RQ0nnQSbpfMIzl8,gap,conj,mm,2.195,1.768
Rq9ip8BsXKWy3tB,gap,conj,mm,0.874,1.112
Rq9ip8BsXKWy3tB,gap,conj,m,0.969,1.173
RQcQ8lM8sMgbe9Z,gap,conj,m,0.538,0.632
RQcQ8lM8sMgbe9Z,gap,conj,mm,0.657,0.909
RqCYwbcshBGMWl9,gap,conj,mm,0.724,0.561
RqCYwbcshBGMWl9,gap,conj,m,0.755,1.036
RQDSGYxg9iGBQ1N,no_gap,conj,mm,1.067,1.113
RQDSGYxg9iGBQ1N,no_gap,conj,m,1.219,1.154
RQggTeu9uNjR2Kz,no_gap,conj,m,1.357,1.473
RQggTeu9uNjR2Kz,no_gap,conj,mm,1.578,2.018
RQhHQgn3oncjPVH,gap,conj,m,0.609,0.57
RQhHQgn3oncjPVH,gap,conj,mm,0.689,0.607
RQn8nKQlmurWj6x,no_gap,conj,mm,1.271,1.099
RQn8nKQlmurWj6x,no_gap,conj,m,1.357,1.747
RqxGC4cTbe7xhyS,no_gap,conj,mm,0.574,0.606
RqxGC4cTbe7xhyS,no_gap,conj,m,0.577,0.877
RqXpoOypYbjTRWl,no_gap,conj,m,1.233,1.677
RqXpoOypYbjTRWl,no_gap,conj,mm,2.075,2.072
RR81qJfBkmFANkJ,no_gap,conj,m,0.85,1.357
RR81qJfBkmFANkJ,no_gap,conj,mm,1.068,1.519
Rr9CI6AFSBMawII,gap,conj,mm,0.676,1.026
Rr9CI6AFSBMawII,gap,conj,m,0.685,1.071
Rrla5wg2eJeofgU,no_gap,conj,m,0.713,0.661
Rrla5wg2eJeofgU,no_gap,conj,mm,0.724,0.67
RRPRywAKJIJoXwq,gap,conj,mm,0.684,0.766
RRPRywAKJIJoXwq,gap,conj,m,0.725,1.052
RrVd3Udq0Naa4tm,no_gap,conj,m,0.827,0.737
RrVd3Udq0Naa4tm,no_gap,conj,mm,1.153,0.889
RrvojTzRtsDhwWZ,no_gap,conj,m,0.441,0.532
RrvojTzRtsDhwWZ,no_gap,conj,mm,0.456,0.592
Rs5BrOZwyfMmXNT,no_gap,conj,mm,0.754,0.972
Rs5BrOZwyfMmXNT,no_gap,conj,m,0.871,1.016
RsaKX0rCpQMSpWC,no_gap,conj,m,0.803,0.684
RsaKX0rCpQMSpWC,no_gap,conj,mm,0.821,0.727
RsSBN4IUEWRzEHE,gap,conj,mm,1.44,1.248
RsSBN4IUEWRzEHE,gap,conj,m,1.513,1.378
RsZwXaQWcDrXX4J,no_gap,conj,m,0.539,0.578
RsZwXaQWcDrXX4J,no_gap,conj,mm,0.645,0.711
Rt2RITW5Msrt0v1,no_gap,conj,m,0.678,1.033
Rt2RITW5Msrt0v1,no_gap,conj,mm,0.741,1.098
Rt3eKQMwJ13cTxu,gap,conj,mm,0.788,0.922
Rt3eKQMwJ13cTxu,gap,conj,m,0.832,1.045
Rt5VMWadJZXwhol,gap,conj,m,0.667,0.639
Rt5VMWadJZXwhol,gap,conj,mm,0.874,1.296
Rt8PKxoTop4myWX,no_gap,conj,mm,0.908,1.169
Rt8PKxoTop4myWX,no_gap,conj,m,0.977,1.252
RtKElLKJ2RzYeOL,gap,conj,m,1.065,1.021
RtKElLKJ2RzYeOL,gap,conj,mm,1.146,1.333
RTOewpP52D1ZcQi,gap,conj,m,0.613,0.564
RTOewpP52D1ZcQi,gap,conj,mm,0.859,0.655
RTvIpggb40wzcMj,gap,conj,m,0.467,0.585
RTvIpggb40wzcMj,gap,conj,mm,0.917,0.607
RTvjCe31vsmiZgF,no_gap,conj,m,0.688,0.728
RTvjCe31vsmiZgF,no_gap,conj,mm,0.771,1.061
RtzNr5GcFWibgNj,no_gap,conj,m,0.93,1.193
RtzNr5GcFWibgNj,no_gap,conj,mm,1.163,1.252
RuaROXK2JM6R5KN,no_gap,conj,m,0.522,0.714
RuaROXK2JM6R5KN,no_gap,conj,mm,0.644,0.842
RuEyL6gg252E1VJ,no_gap,conj,mm,0.788,0.796
RuEyL6gg252E1VJ,no_gap,conj,m,0.988,1.094
RUgx54Yz1N7CJ36,gap,conj,mm,0.49,0.586
RUgx54Yz1N7CJ36,gap,conj,m,0.523,0.805
RuPd3IAgL1aElYJ,no_gap,conj,m,0.585,0.728
RuPd3IAgL1aElYJ,no_gap,conj,mm,0.771,0.73
RUWLzuZCkACVgCP,gap,conj,m,0.828,0.965
RUWLzuZCkACVgCP,gap,conj,mm,1.058,1.282
RUYj6qVJqb6JhXS,no_gap,conj,mm,0.766,0.884
RUYj6qVJqb6JhXS,no_gap,conj,m,0.906,0.952
RuZFhWaBfnO4ECU,gap,conj,mm,1.269,1.171
RuZFhWaBfnO4ECU,gap,conj,m,1.522,1.234
Rv1EkCyV15Ok7D5,no_gap,conj,m,0.421,0.652
Rv1EkCyV15Ok7D5,no_gap,conj,mm,0.691,0.658
Rv6M4LykwnHQpey,no_gap,conj,mm,0.584,0.686
Rv6M4LykwnHQpey,no_gap,conj,m,0.767,0.775
RVBBNsozbzxpfT9,gap,conj,m,0.558,0.649
RVBBNsozbzxpfT9,gap,conj,mm,0.61,0.699
RVx6MwTvzph2nt3,gap,conj,m,0.595,0.772
RVx6MwTvzph2nt3,gap,conj,mm,0.6,1.014
Rw5NkTjpk5sIZmL,gap,conj,mm,0.6,0.573
Rw5NkTjpk5sIZmL,gap,conj,m,0.807,0.581
RwgkGKCmXhgbs6f,no_gap,conj,m,0.659,0.855
RwgkGKCmXhgbs6f,no_gap,conj,mm,0.72,0.971
RwhKJfx0Nt043dd,no_gap,conj,m,0.444,0.495
RwhKJfx0Nt043dd,no_gap,conj,mm,0.509,0.501
RxIZjV9sIl4RF6P,no_gap,conj,mm,1.069,1.107
RxIZjV9sIl4RF6P,no_gap,conj,m,1.15,1.304
RXqCDwzg1i2Esxj,no_gap,conj,mm,0.985,1.161
RXqCDwzg1i2Esxj,no_gap,conj,m,1.046,1.725
RxxfsrIN77B2IyP,no_gap,conj,m,1.245,1.584
RxxfsrIN77B2IyP,no_gap,conj,mm,1.737,1.948
RY5SgzE2hzm4IzP,no_gap,conj,m,1.342,1.146
RY5SgzE2hzm4IzP,no_gap,conj,mm,1.392,1.313
Rz5D2HPnn3XvNKK,gap,conj,m,1.184,0.807
Rz5D2HPnn3XvNKK,gap,conj,mm,1.193,0.813
Rz5xbqVjjSIyJdo,gap,conj,mm,0.86,1.318
Rz5xbqVjjSIyJdo,gap,conj,m,0.973,1.505
RzAzUdW0VLW47Ua,gap,conj,m,0.458,0.488
RzAzUdW0VLW47Ua,gap,conj,mm,0.782,0.795
RzMG3pjpYVG6q9D,no_gap,conj,m,1.275,1.685
RzMG3pjpYVG6q9D,no_gap,conj,mm,1.604,1.735
RzOyxhAfuZbfaqm,gap,conj,mm,1.276,1.443
RzOyxhAfuZbfaqm,gap,conj,m,1.536,1.673
RzZOxm6mvhN3djv,no_gap,conj,m,0.457,0.545
RzZOxm6mvhN3djv,no_gap,conj,mm,0.516,0.586
