subj,task,feature,match,RT_dual,RT_sing
R_3Hzu7sZLBROTBKI,gap,conj,m,1.361,0.962
R_3I6Ku341O3voRKF,no_gap,conj,m,1.377,1.574
R_3I6Ku341O3voRKF,no_gap,conj,mm,1.511,1.71
R_3IawjgtbqJ8vZS1,no_gap,conj,m,0.632,0.871
R_3IawjgtbqJ8vZS1,no_gap,conj,mm,0.759,0.929
R_3IbLExNViiL7Wmj,no_gap,conj,m,1.755,0.982
R_3IbLExNViiL7Wmj,no_gap,conj,mm,2.167,1.497
R_3Ic5XcXj3i1cbFL,gap,conj,m,0.518,0.571
R_3Ic5XcXj3i1cbFL,gap,conj,mm,0.728,0.665
R_3iFr8MpMy69byrN,gap,conj,mm,1.07,1.11
R_3iFr8MpMy69byrN,gap,conj,m,1.332,1.192
R_3isy7djZDjX51Zy,no_gap,conj,m,1.498,1.019
R_3isy7djZDjX51Zy,no_gap,conj,mm,1.635,1.156
R_3iUBe2A2sqTNxe6,no_gap,conj,m,0.563,0.438
R_3iUBe2A2sqTNxe6,no_gap,conj,mm,0.821,0.532
R_3j0uBCOqMwUzlCW,gap,conj,mm,0.803,0.836
R_3j0uBCOqMwUzlCW,gap,conj,m,1.354,1.118
R_3J5dZzQpHZlbptE,no_gap,conj,mm,1.046,0.814
R_3J5dZzQpHZlbptE,no_gap,conj,m,1.095,1.865
R_3J7WamqLp1arSYg,no_gap,conj,mm,0.817,0.856
R_3J7WamqLp1arSYg,no_gap,conj,m,0.851,0.95
R_3J8imcd2CT8E7nV,no_gap,conj,mm,0.698,0.915
R_3J8imcd2CT8E7nV,no_gap,conj,m,0.766,1.031
R_3j9ApP6uO0ORpcw,gap,conj,m,0.763,0.673
R_3j9ApP6uO0ORpcw,gap,conj,mm,0.845,0.737
R_3jAe4d8aowHEK53,gap,conj,mm,1.701,1.193
R_3jAe4d8aowHEK53,gap,conj,m,1.879,1.308
R_3JCQVowq4SWDWhO,gap,conj,m,0.467,0.58
R_3JCQVowq4SWDWhO,gap,conj,mm,0.647,0.611
R_3JCuHa99Y2UioVU,gap,conj,m,0.854,1.504
R_3JCuHa99Y2UioVU,gap,conj,mm,1.444,1.519
R_3JepjzwRIn4QNMa,no_gap,conj,m,1.046,1.362
R_3JepjzwRIn4QNMa,no_gap,conj,mm,1.313,1.876
R_3JKuKZTaXlZlS9L,no_gap,conj,mm,0.896,0.946
R_3JKuKZTaXlZlS9L,no_gap,conj,m,1.139,1.266
R_3jSRUtmlwcSos3T,gap,conj,m,0.465,0.425
R_3jSRUtmlwcSos3T,gap,conj,mm,0.566,0.489
R_3jZIGhpufmzSmRG,gap,conj,mm,1.559,1.507
R_3jZIGhpufmzSmRG,gap,conj,m,1.716,1.859
R_3kANJhWZWQZHHzt,gap,conj,m,1.106,1.285
R_3kANJhWZWQZHHzt,gap,conj,mm,1.313,1.468
R_3kAQUBQH7gOE6L4,gap,conj,mm,0.652,0.788
R_3kAQUBQH7gOE6L4,gap,conj,m,0.85,0.835
R_3koHaaGXSWbfZCH,gap,conj,m,0.59,0.72
R_3koHaaGXSWbfZCH,gap,conj,mm,0.683,0.809
R_3kq4Tx7qydJo7oB,gap,conj,m,1.182,1.459
R_3kq4Tx7qydJo7oB,gap,conj,mm,1.242,2.019
R_3KxCDvIBCFGJlB2,gap,conj,m,0.579,0.688
R_3KxCDvIBCFGJlB2,gap,conj,mm,0.703,0.878
R_3L0GKcwhfD3ONGp,no_gap,conj,m,0.626,0.629
R_3L0GKcwhfD3ONGp,no_gap,conj,mm,0.663,1.007
R_3L8bKSLPWWYQbb1,no_gap,conj,mm,0.847,0.925
R_3L8bKSLPWWYQbb1,no_gap,conj,m,1.063,1.071
R_3lA2P9y5IuW1K16,no_gap,conj,m,0.587,0.551
R_3lA2P9y5IuW1K16,no_gap,conj,mm,0.601,0.668
R_3lQ7ThL8ft9I4Xd,gap,conj,mm,0.75,0.481
R_3lQ7ThL8ft9I4Xd,gap,conj,m,0.955,0.671
R_3lQSewC3zD0cqPm,no_gap,conj,m,0.485,0.487
R_3lQSewC3zD0cqPm,no_gap,conj,mm,0.549,0.72
R_3lQY2j5LMIXXK4u,gap,conj,m,0.517,0.692
R_3lQY2j5LMIXXK4u,gap,conj,mm,0.677,0.808
R_3lW8WmUtn8ktnqb,no_gap,conj,m,1.66,1.772
R_3lW8WmUtn8ktnqb,no_gap,conj,mm,1.981,1.952
R_3lxHPjKjHR4VSZX,gap,conj,mm,1.048,0.917
R_3lxHPjKjHR4VSZX,gap,conj,m,1.122,0.954
R_3LYmXrQqAEkquZp,no_gap,conj,m,0.631,0.709
R_3LYmXrQqAEkquZp,no_gap,conj,mm,0.683,1.269
R_3m29EB99jBC3eYM,no_gap,conj,mm,0.586,0.677
R_3m29EB99jBC3eYM,no_gap,conj,m,0.861,0.814
R_3M5rXHlsQsfCfZ1,gap,conj,m,1.026,0.686
R_3M5rXHlsQsfCfZ1,gap,conj,mm,1.032,1.067
R_3mfrYYubAvKcVXD,no_gap,conj,m,0.639,0.663
R_3mfrYYubAvKcVXD,no_gap,conj,mm,0.729,0.854
R_3MrsBALpPMDdc4K,no_gap,conj,mm,1.759,1.216
R_3MrsBALpPMDdc4K,no_gap,conj,m,1.859,2.137
R_3MsZ1FtrecdI6Bk,no_gap,conj,m,1.001,0.911
R_3MsZ1FtrecdI6Bk,no_gap,conj,mm,1.037,1.003
R_3NDueluChz5YLcK,gap,conj,m,0.825,1.224
R_3NDueluChz5YLcK,gap,conj,mm,0.915,1.3
R_3nGjakNTDKLeUI5,gap,conj,m,1.225,1.125
R_3nGjakNTDKLeUI5,gap,conj,mm,1.449,1.266
R_3ni4oB2dXSyqVt5,no_gap,conj,m,0.638,0.587
R_3ni4oB2dXSyqVt5,no_gap,conj,mm,0.805,0.709
R_3nj6domOVc1jJjN,gap,conj,mm,0.929,1.23
R_3nj6domOVc1jJjN,gap,conj,m,1.108,1.324
R_3NJrbvniVjhQgVe,gap,conj,mm,1.536,1.21
R_3NJrbvniVjhQgVe,gap,conj,m,1.583,1.373
R_3NLrAGnHeCcusnN,no_gap,conj,mm,0.852,1.13
R_3NLrAGnHeCcusnN,no_gap,conj,m,0.998,1.181
R_3nTN2on5k76PSqy,no_gap,conj,m,0.715,0.768
R_3nTN2on5k76PSqy,no_gap,conj,mm,0.756,0.893
R_3NUHxGL0DDAFsRc,gap,conj,mm,1.475,1.071
R_3NUHxGL0DDAFsRc,gap,conj,m,1.547,1.105
R_3nuRnyn8F7V1zzY,no_gap,conj,m,0.938,1.388
R_3nuRnyn8F7V1zzY,no_gap,conj,mm,1.66,1.876
R_3NV3o9ELxm8q0OB,gap,conj,m,0.539,0.625
R_3NV3o9ELxm8q0OB,gap,conj,mm,0.654,0.626
R_3nvCR77A2gIXUnU,no_gap,conj,m,0.676,0.852
R_3nvCR77A2gIXUnU,no_gap,conj,mm,0.959,0.996
R_3OijgTkqK3N1vDR,no_gap,conj,m,0.748,1.217
R_3OijgTkqK3N1vDR,no_gap,conj,mm,0.911,1.36
R_3paGJTFEkF29ztH,gap,conj,m,0.446,0.53
R_3paGJTFEkF29ztH,gap,conj,mm,0.595,0.621
R_3peQmhVVM6LZ8Rq,gap,conj,m,0.989,0.75
R_3peQmhVVM6LZ8Rq,gap,conj,mm,1.227,1.249
R_3PH8KwGY7M572k7,no_gap,conj,m,1.033,1.121
R_3PH8KwGY7M572k7,no_gap,conj,mm,1.454,1.206
