"Result ID","Start Time","Last Seen","Duration","Batch","Worker ID","Worker Type","State","Message"
"198582","2022/12/23 10:16:30","2022/12/23 10:24:34","00:09:51","initial","248942","General Single","FINISHED","none"
"198481","2022/12/23 06:41:19","2022/12/23 06:49:22","00:08:39","initial","248843","General Single","FINISHED","none"
"197918","2022/12/22 12:22:14","2022/12/22 12:30:21","00:08:52","initial","248298","General Single","FINISHED","none"
"197686","2022/12/22 08:42:34","2022/12/22 08:50:39","00:08:43","initial","248083","General Single","FINISHED","none"
"197606","2022/12/22 03:57:17","2022/12/22 04:05:22","00:08:08","initial","247998","General Single","FINISHED","none"
"197505","2022/12/21 19:24:50","2022/12/21 19:34:52","00:10:11","initial","247902","General Single","FINISHED","none"
"197176","2022/12/21 11:08:58","2022/12/21 11:19:03","00:10:38","initial","247603","General Single","FINISHED","none"
"197071","2022/12/21 06:46:41","2022/12/21 06:56:46","00:10:09","initial","247501","General Single","FINISHED","none"
"197065","2022/12/21 06:32:28","2022/12/21 06:40:33","00:08:54","initial","247495","General Single","FINISHED","none"
"197063","2022/12/21 06:00:29","2022/12/21 06:12:34","00:12:42","initial","247493","General Single","FINISHED","none"
"197057","2022/12/21 05:14:15","2022/12/21 05:22:20","00:08:36","initial","247488","General Single","FINISHED","none"
"197056","2022/12/21 05:09:51","2022/12/21 05:15:56","00:06:35","initial","247487","General Single","FINISHED","none"
"197048","2022/12/21 03:51:30","2022/12/21 03:59:34","00:08:49","initial","247478","General Single","FINISHED","none"
"197038","2022/12/21 02:46:14","2022/12/21 02:54:18","00:08:13","initial","247468","General Single","FINISHED","none"
"197034","2022/12/21 01:39:58","2022/12/21 02:02:16","00:23:05","initial","247464","General Single","FINISHED","none"
"197028","2022/12/21 01:22:42","2022/12/21 01:28:48","00:07:53","initial","247458","General Single","FINISHED","none"
"196823","2022/12/20 18:10:12","2022/12/20 18:16:19","00:06:05","initial","247286","General Single","FINISHED","none"
"196817","2022/12/20 18:00:51","2022/12/20 18:06:55","00:06:19","initial","247280","General Single","FINISHED","none"
"196813","2022/12/20 17:49:10","2022/12/20 17:55:15","00:07:18","initial","247276","General Single","FINISHED","none"
"196808","2022/12/20 17:36:40","2022/12/20 17:48:47","00:12:38","initial","247271","General Single","FINISHED","none"
"196645","2022/12/20 15:17:25","2022/12/20 15:27:31","00:11:59","initial","247125","General Single","FINISHED","none"
"196578","2022/12/20 14:10:36","2022/12/20 14:44:47","00:35:15","initial","247063","General Single","FINISHED","none"
"196568","2022/12/20 14:02:00","2022/12/20 14:10:05","00:08:14","initial","247053","General Single","FINISHED","none"
"196566","2022/12/20 13:58:21","2022/12/20 14:06:27","00:09:37","initial","247051","General Single","FINISHED","none"
