subj,task,feature,match,accuracy,RT
192,gap,sing,m,1,1.66
192,gap,sing,mm,0.75,1.981
193,no_gap,conj,m,1,1.952
193,no_gap,conj,mm,1,1.772
193,no_gap,sing,m,1,1.122
193,no_gap,sing,mm,1,1.048
194,gap,conj,m,0.75,0.917
194,gap,conj,mm,0.875,0.954
194,gap,sing,m,1,0.861
194,gap,sing,mm,0.75,0.586
195,no_gap,conj,m,0.875,0.677
195,no_gap,conj,mm,1,0.814
195,no_gap,sing,m,0.875,0.639
195,no_gap,sing,mm,1,0.729
196,no_gap,conj,m,1,0.663
196,no_gap,conj,mm,1,0.854
196,no_gap,sing,m,1,1.225
196,no_gap,sing,mm,1,1.449
197,gap,conj,m,0.875,1.125
197,gap,conj,mm,0.875,1.266
197,gap,sing,m,1,0.715
197,gap,sing,mm,0.875,0.756
198,no_gap,conj,m,1,0.893
198,no_gap,conj,mm,0.875,0.768
198,no_gap,sing,m,1,0.638
198,no_gap,sing,mm,1,0.805
199,no_gap,conj,m,1,0.709
199,no_gap,conj,mm,0.875,0.587
199,no_gap,sing,m,1,1.108
199,no_gap,sing,mm,0.875,0.929
200,gap,conj,m,0.875,1.324
200,gap,conj,mm,0.75,1.23
200,gap,sing,m,1,0.938
200,gap,sing,mm,0.875,1.66
201,no_gap,conj,m,1,1.388
201,no_gap,conj,mm,0.875,1.876
201,no_gap,sing,m,0.375,0.676
201,no_gap,sing,mm,0.375,0.959
202,no_gap,conj,m,1,0.852
202,no_gap,conj,mm,1,0.996
202,no_gap,sing,m,0.875,0.446
202,no_gap,sing,mm,0.875,0.595
203,gap,conj,m,1,0.53
203,gap,conj,mm,1,0.621
203,gap,sing,m,0.75,0.989
203,gap,sing,mm,0.875,1.227
204,gap,conj,m,0.75,0.75
204,gap,conj,mm,0.875,1.249
204,gap,sing,m,0.5,0.669
204,gap,sing,mm,0.5,0.82
205,no_gap,conj,m,0.875,0.717
205,no_gap,conj,mm,0.875,0.897
205,no_gap,sing,m,0.875,0.788
205,no_gap,sing,mm,0.875,0.958
206,no_gap,conj,m,0.875,0.914
206,no_gap,conj,mm,1,1.052
206,no_gap,sing,m,1,0.737
206,no_gap,sing,mm,1,0.663
207,no_gap,conj,m,1,1.061
207,no_gap,conj,mm,1,1.072
207,no_gap,sing,m,1,0.568
207,no_gap,sing,mm,1,0.505
208,gap,conj,m,0.75,0.648
208,gap,conj,mm,0.875,0.539
208,gap,sing,m,1,0.817
208,gap,sing,mm,1,0.845
209,no_gap,conj,m,1,0.962
209,no_gap,conj,mm,1,0.95
209,no_gap,sing,m,1,1.388
209,no_gap,sing,mm,1,0.908
210,no_gap,conj,m,0.875,0.942
210,no_gap,conj,mm,1,1.227
210,no_gap,sing,m,0.875,1.652
210,no_gap,sing,mm,0.875,1.563
211,no_gap,conj,m,0.875,1.385
211,no_gap,conj,mm,1,1.84
211,no_gap,sing,m,0.625,0.769
211,no_gap,sing,mm,0.875,0.994
212,no_gap,conj,m,1,0.864
212,no_gap,conj,mm,1,0.906
212,no_gap,sing,m,1,0.949
212,no_gap,sing,mm,0.75,1.485
213,no_gap,conj,m,1,1.367
213,no_gap,conj,mm,1,1.365
213,no_gap,sing,m,1,0.843
213,no_gap,sing,mm,0.875,0.913
214,gap,conj,m,1,0.589
214,gap,conj,mm,1,0.958
214,gap,sing,m,1,0.799
214,gap,sing,mm,0.875,1.072
215,no_gap,conj,m,1,1.887
215,no_gap,conj,mm,1,1.205
215,no_gap,sing,m,0.875,0.812
215,no_gap,sing,mm,0.875,0.8
216,gap,conj,m,0.875,0.805
216,gap,conj,mm,1,0.638
216,gap,sing,m,0.875,1.474
216,gap,sing,mm,1,1.092
217,no_gap,conj,m,1,1.289
217,no_gap,conj,mm,1,1.056
217,no_gap,sing,m,0.875,0.925
217,no_gap,sing,mm,1,1.199
218,gap,conj,m,1,0.887
218,gap,conj,mm,1,1.097
218,gap,sing,m,0.75,1.703
218,gap,sing,mm,0.75,1.315
219,no_gap,conj,m,0.875,2.09
219,no_gap,conj,mm,1,1.536
219,no_gap,sing,m,1,2.263
219,no_gap,sing,mm,1,1.785
220,no_gap,conj,m,1,1.707
220,no_gap,conj,mm,0.875,2.116
220,no_gap,sing,m,1,0.68
220,no_gap,sing,mm,1,0.671
221,gap,conj,m,1,0.905
221,gap,conj,mm,1,0.775
221,gap,sing,m,1,1.164
221,gap,sing,mm,1,1.568
222,gap,conj,m,1,1.127
222,gap,conj,mm,1,1.495
222,gap,sing,m,1,1.78
222,gap,sing,mm,0.875,1.252
223,no_gap,conj,m,0.875,1.302
223,no_gap,conj,mm,0.875,1.248
223,no_gap,sing,m,1,1.067
223,no_gap,sing,mm,0.875,1.444
224,no_gap,conj,m,0.875,1.109
224,no_gap,conj,mm,1,1.255
224,no_gap,sing,m,0.875,0.9
224,no_gap,sing,mm,0.875,0.844
225,no_gap,conj,m,1,0.841
225,no_gap,conj,mm,1,1.012
225,no_gap,sing,m,1,0.685
225,no_gap,sing,mm,1,1.075
226,no_gap,conj,m,0.875,1.18
226,no_gap,conj,mm,1,1.116
226,no_gap,sing,m,0.875,0.692
226,no_gap,sing,mm,0.875,0.633
227,no_gap,conj,m,1,0.818
227,no_gap,conj,mm,1,0.63
227,no_gap,sing,m,0.5,1.369
227,no_gap,sing,mm,1,1.392
228,no_gap,conj,m,1,1.492
228,no_gap,conj,mm,1,1.882
228,no_gap,sing,m,1,0.489
228,no_gap,sing,mm,0.875,0.634
229,gap,conj,m,1,0.463
229,gap,conj,mm,0.875,0.538
229,gap,sing,m,1,0.589
229,gap,sing,mm,0.875,0.656
230,gap,conj,m,1,0.721
230,gap,conj,mm,1,1.054
230,gap,sing,m,0.875,0.926
230,gap,sing,mm,1,1.096
231,no_gap,conj,m,1,0.928
231,no_gap,conj,mm,1,0.876
231,no_gap,sing,m,1,0.713
231,no_gap,sing,mm,1,0.692
232,gap,conj,m,0.75,0.73
232,gap,conj,mm,1,1.058
232,gap,sing,m,0.875,0.414
232,gap,sing,mm,1,0.473
233,gap,conj,m,1,0.458
233,gap,conj,mm,1,0.464
233,gap,sing,m,1,0.675
233,gap,sing,mm,1,0.695
234,gap,conj,m,1,0.851
234,gap,conj,mm,0.875,0.982
234,gap,sing,m,1,1.116
234,gap,sing,mm,1,0.858
235,no_gap,conj,m,1,1.415
235,no_gap,conj,mm,1,1.218
235,no_gap,sing,m,1,1.611
235,no_gap,sing,mm,1,1.784
236,no_gap,conj,m,0.875,1.555
236,no_gap,conj,mm,1,1.599
236,no_gap,sing,m,0.875,0.703
236,no_gap,sing,mm,0.875,0.837
237,no_gap,conj,m,1,0.841
237,no_gap,conj,mm,1,0.974
237,no_gap,sing,m,1,0.884
237,no_gap,sing,mm,1,0.683
238,no_gap,conj,m,1,0.573
238,no_gap,conj,mm,1,0.919
238,no_gap,sing,m,1,1.733
238,no_gap,sing,mm,1,1.661
239,gap,conj,m,0.875,1.854
239,gap,conj,mm,1,1.582
239,gap,sing,m,1,0.491
239,gap,sing,mm,0.75,0.418
240,no_gap,conj,m,1,0.889
240,no_gap,conj,mm,1,0.808
240,no_gap,sing,m,0.875,0.956
240,no_gap,sing,mm,0.625,0.861
241,gap,conj,m,0.875,1.061
241,gap,conj,mm,1,0.916
241,gap,sing,m,0.625,1.016
241,gap,sing,mm,1,0.869
242,no_gap,conj,m,1,1.026
242,no_gap,conj,mm,1,1.408
242,no_gap,sing,m,1,0.632
242,no_gap,sing,mm,0.875,0.918
243,gap,conj,m,1,0.992
243,gap,conj,mm,1,0.906
243,gap,sing,m,0.75,0.914
243,gap,sing,mm,0.875,0.61
244,gap,conj,m,1,0.511
244,gap,conj,mm,1,0.73
244,gap,sing,m,1,0.651
244,gap,sing,mm,1,0.624
245,gap,conj,m,0.75,0.471
245,gap,conj,mm,1,0.717
245,gap,sing,m,1,1.013
245,gap,sing,mm,0.875,1.111
246,gap,conj,m,0.75,0.722
246,gap,conj,mm,1,1.192
246,gap,sing,m,0.875,0.858
246,gap,sing,mm,0.5,0.752
247,no_gap,conj,m,1,0.603
247,no_gap,conj,mm,1,0.856
247,no_gap,sing,m,1,1.154
247,no_gap,sing,mm,1,1.546
248,no_gap,conj,m,1,0.982
248,no_gap,conj,mm,0.75,1.027
248,no_gap,sing,m,0.75,0.694
248,no_gap,sing,mm,0.75,0.631
249,gap,conj,m,0.875,0.601
249,gap,conj,mm,1,0.568
249,gap,sing,m,1,1.355
249,gap,sing,mm,1,1.176
250,gap,conj,m,0.75,0.874
250,gap,conj,mm,0.875,1.035
250,gap,sing,m,1,0.76
250,gap,sing,mm,0.875,0.829
251,no_gap,conj,m,1,0.852
251,no_gap,conj,mm,1,0.739
251,no_gap,sing,m,1,0.461
251,no_gap,sing,mm,0.875,0.596
252,gap,conj,m,0.875,0.677
252,gap,conj,mm,1,0.623
252,gap,sing,m,0.875,1.269
252,gap,sing,mm,0.875,0.905
253,no_gap,conj,m,0.875,1.012
253,no_gap,conj,mm,1,0.983
253,no_gap,sing,m,0.875,0.803
253,no_gap,sing,mm,1,0.766
254,gap,conj,m,0.875,0.635
254,gap,conj,mm,1,0.766
254,gap,sing,m,0.75,0.724
254,gap,sing,mm,1,1.105
255,gap,conj,m,1,0.642
255,gap,conj,mm,1,1.029
255,gap,sing,m,1,2.211
255,gap,sing,mm,1,2.342
256,gap,conj,m,0.875,2.369
256,gap,conj,mm,1,2.467
256,gap,sing,m,0.875,0.966
256,gap,sing,mm,1,0.964
257,gap,conj,m,1,0.942
257,gap,conj,mm,0.25,1.049
257,gap,sing,m,1,1.062
257,gap,sing,mm,0.875,0.834
258,gap,conj,m,1,0.991
258,gap,conj,mm,0.875,1.161
258,gap,sing,m,1,0.617
258,gap,sing,mm,0.75,0.791
259,gap,conj,m,1,0.555
259,gap,conj,mm,0.5,0.747
259,gap,sing,m,1,1.207
259,gap,sing,mm,0.875,1.362
260,no_gap,conj,m,0.875,1.359
260,no_gap,conj,mm,1,1.434
260,no_gap,sing,m,1,1.225
260,no_gap,sing,mm,1,1.365
261,no_gap,conj,m,1,0.857
261,no_gap,conj,mm,0.875,1.267
261,no_gap,sing,m,1,1.522
261,no_gap,sing,mm,1,1.14
262,gap,conj,m,1,0.978
262,gap,conj,mm,0.875,0.944
262,gap,sing,m,1,1.32
262,gap,sing,mm,1,1.069
263,no_gap,conj,m,0.875,1.115
263,no_gap,conj,mm,1,1.336
263,no_gap,sing,m,1,0.582
263,no_gap,sing,mm,0.875,0.594
264,no_gap,conj,m,1,0.57
264,no_gap,conj,mm,1,0.628
264,no_gap,sing,m,1,1.056
264,no_gap,sing,mm,1,0.92
265,no_gap,conj,m,0.875,1.605
265,no_gap,conj,mm,1,1.414
265,no_gap,sing,m,0.625,0.782
265,no_gap,sing,mm,0.875,0.709
266,no_gap,conj,m,0.875,0.95
266,no_gap,conj,mm,1,0.995
266,no_gap,sing,m,1,0.608
266,no_gap,sing,mm,1,0.619
267,gap,conj,m,0.875,0.69
267,gap,conj,mm,0.875,0.672
267,gap,sing,m,0.875,0.447
267,gap,sing,mm,1,0.532
268,gap,conj,m,1,0.498
268,gap,conj,mm,1,0.616
268,gap,sing,m,0.625,1.068
268,gap,sing,mm,0.875,1.278
269,gap,conj,m,0.875,1.149
269,gap,conj,mm,0.875,1.057
269,gap,sing,m,1,0.602
269,gap,sing,mm,0.875,1.228
270,gap,conj,m,0.75,1.108
270,gap,conj,mm,1,0.866
270,gap,sing,m,0.875,1.407
270,gap,sing,mm,0.5,0.32
271,gap,conj,m,0,1.371
271,gap,conj,mm,0.875,0.844
271,gap,sing,m,0.375,0.835
271,gap,sing,mm,0.625,1.309
272,no_gap,conj,m,0.875,0.9
272,no_gap,conj,mm,0.875,0.593
272,no_gap,sing,m,0.625,0.662
272,no_gap,sing,mm,1,0.673
273,gap,conj,m,1,0.757
273,gap,conj,mm,1,0.546
273,gap,sing,m,1,0.601
273,gap,sing,mm,0.875,0.594
274,no_gap,conj,m,1,0.597
274,no_gap,conj,mm,1,2.225
274,no_gap,sing,m,1,2.564
274,no_gap,sing,mm,1,2.186
275,no_gap,conj,m,1,2.104
275,no_gap,conj,mm,1,1.453
275,no_gap,sing,m,0.875,1.886
275,no_gap,sing,mm,1,0.971
276,gap,conj,m,0.75,1.793
276,gap,conj,mm,0.75,1.073
276,gap,sing,m,0.75,1.271
276,gap,sing,mm,0.25,1.327
277,no_gap,conj,m,1,1.587
277,no_gap,conj,mm,1,0.907
277,no_gap,sing,m,1,0.895
277,no_gap,sing,mm,1,0.555
278,gap,conj,m,1,0.572
278,gap,conj,mm,0.875,0.539
278,gap,sing,m,0.875,0.712
278,gap,sing,mm,0.75,0.813
279,no_gap,conj,m,1,0.661
279,no_gap,conj,mm,1,0.416
279,no_gap,sing,m,1,0.518
279,no_gap,sing,mm,1,0.363
280,no_gap,conj,m,1,0.502
280,no_gap,conj,mm,1,1.393
280,no_gap,sing,m,1,1.001
280,no_gap,sing,mm,1,1.476
281,no_gap,conj,m,0.75,1.482
281,no_gap,conj,mm,0.875,0.706
281,no_gap,sing,m,1,0.733
281,no_gap,sing,mm,1,0.852
282,no_gap,conj,m,1,1.116
282,no_gap,conj,mm,1,1.589
282,no_gap,sing,m,1,1.444
282,no_gap,sing,mm,1,1.308
283,gap,conj,m,1,1.886
283,gap,conj,mm,1,0.85
283,gap,sing,m,0.875,0.836
283,gap,sing,mm,0.875,0.754
284,no_gap,conj,m,0.875,0.851
284,no_gap,conj,mm,1,0.801
284,no_gap,sing,m,1,1.26
284,no_gap,sing,mm,1,0.705
285,gap,conj,m,0.875,0.858
285,gap,conj,mm,0.875,1.294
285,gap,sing,m,1,1.161
285,gap,sing,mm,0.75,0.885
286,no_gap,conj,m,1,1.232
286,no_gap,conj,mm,0.875,0.513
286,no_gap,sing,m,1,0.475
286,no_gap,sing,mm,0.875,0.415
287,gap,conj,m,0.75,0.463
287,gap,conj,mm,0.875,1.499
287,gap,sing,m,0.875,1.486
287,gap,sing,mm,1,1.837
288,gap,conj,m,1,1.43
288,gap,conj,mm,1,0.742
288,gap,sing,m,0.875,0.844
288,gap,sing,mm,0.625,0.596
289,gap,conj,m,0.875,0.952
289,gap,conj,mm,0.875,0.437
289,gap,sing,m,1,0.526
289,gap,sing,mm,1,0.613
290,gap,conj,m,1,0.596
290,gap,conj,mm,0.875,1.108
290,gap,sing,m,1,1.109
290,gap,sing,mm,1,1.295
291,no_gap,conj,m,1,1.003
291,no_gap,conj,mm,0.75,2.425
291,no_gap,sing,m,1,2.156
291,no_gap,sing,mm,0.875,1.361
292,gap,conj,m,0.75,0.975
292,gap,conj,mm,1,0.968
292,gap,sing,m,0.875,0.884
292,gap,sing,mm,0.5,1.18
293,no_gap,conj,m,1,0.62
293,no_gap,conj,mm,1,0.881
293,no_gap,sing,m,1,0.769
293,no_gap,sing,mm,0.875,0.833
294,gap,conj,m,0.75,0.832
294,gap,conj,mm,1,1.243
294,gap,sing,m,1,0.823
294,gap,sing,mm,1,0.862
295,gap,conj,m,0.75,1.403
295,gap,conj,mm,0.875,0.878
295,gap,sing,m,1,1.331
295,gap,sing,mm,1,1.283
296,gap,conj,m,0.875,2.227
296,gap,conj,mm,1,2.35
296,gap,sing,m,0.875,2.286
296,gap,sing,mm,0.875,2.378
297,no_gap,conj,m,1,0.645
297,no_gap,conj,mm,1,0.512
297,no_gap,sing,m,1,0.58
297,no_gap,sing,mm,1,0.612
298,gap,conj,m,1,0.694
298,gap,conj,mm,1,0.829
298,gap,sing,m,1,0.693
298,gap,sing,mm,1,0.904
299,no_gap,conj,m,1,0.75
299,no_gap,conj,mm,1,0.754
299,no_gap,sing,m,1,0.952
299,no_gap,sing,mm,0.875,0.783
300,no_gap,conj,m,1,0.964
300,no_gap,conj,mm,1,1.177
300,no_gap,sing,m,1,0.772
300,no_gap,sing,mm,0.875,0.799
301,gap,conj,m,1,0.704
301,gap,conj,mm,1,0.662
301,gap,sing,m,1,0.764
301,gap,sing,mm,1,0.705
302,gap,conj,m,0.875,0.562
302,gap,conj,mm,1,0.741
302,gap,sing,m,1,0.565
302,gap,sing,mm,0.75,0.543
303,gap,conj,m,1,1.173
303,gap,conj,mm,0.875,0.859
303,gap,sing,m,1,1.1
303,gap,sing,mm,1,1.294
304,gap,conj,m,1,0.963
304,gap,conj,mm,0.875,0.803
304,gap,sing,m,0.875,0.679
304,gap,sing,mm,1,0.62
305,gap,conj,m,1,1.157
305,gap,conj,mm,1,0.966
305,gap,sing,m,1,1.276
305,gap,sing,mm,0.625,1.319
306,no_gap,conj,m,1,1.995
306,no_gap,conj,mm,1,1.401
306,no_gap,sing,m,1,2.167
306,no_gap,sing,mm,0.875,2.067
307,no_gap,conj,m,1,1.279
307,no_gap,conj,mm,0.875,1.851
307,no_gap,sing,m,1,1.818
307,no_gap,sing,mm,1,1.858
308,gap,conj,m,1,0.961
308,gap,conj,mm,1,0.902
308,gap,sing,m,0.875,0.977
308,gap,sing,mm,1,1.04
309,no_gap,conj,m,0.875,0.925
309,no_gap,conj,mm,1,1.045
309,no_gap,sing,m,1,1.228
309,no_gap,sing,mm,1,1.343
310,gap,conj,m,0.875,1.269
310,gap,conj,mm,1,1.262
310,gap,sing,m,1,1.375
310,gap,sing,mm,1,1.236
311,gap,conj,m,0.875,0.69
311,gap,conj,mm,1,0.71
311,gap,sing,m,0.875,0.767
311,gap,sing,mm,1,0.769
312,no_gap,conj,m,1,0.857
312,no_gap,conj,mm,1,0.626
312,no_gap,sing,m,1,0.565
312,no_gap,sing,mm,1,0.581
313,gap,conj,m,1,0.774
313,gap,conj,mm,1,0.707
313,gap,sing,m,1,0.818
313,gap,sing,mm,0.875,0.91
314,no_gap,conj,m,1,1.06
314,no_gap,conj,mm,0.875,0.892
314,no_gap,sing,m,0.875,0.721
314,no_gap,sing,mm,1,0.969
315,gap,conj,m,0.625,0.775
315,gap,conj,mm,0.875,1.16
315,gap,sing,m,0.875,0.855
315,gap,sing,mm,0.875,0.789
316,gap,conj,m,0.875,1.12
316,gap,conj,mm,1,0.962
316,gap,sing,m,1,0.844
316,gap,sing,mm,1,1.161
317,no_gap,conj,m,1,0.601
317,no_gap,conj,mm,1,0.923
317,no_gap,sing,m,1,0.915
317,no_gap,sing,mm,1,0.938
318,no_gap,conj,m,1,1.035
318,no_gap,conj,mm,1,0.659
318,no_gap,sing,m,1,0.491
318,no_gap,sing,mm,0.875,0.751
319,gap,conj,m,1,0.92
319,gap,conj,mm,1,0.914
319,gap,sing,m,0.875,0.905
319,gap,sing,mm,1,0.814
320,gap,conj,m,0.875,0.703
320,gap,conj,mm,1,0.616
320,gap,sing,m,1,0.723
320,gap,sing,mm,1,0.727
321,no_gap,conj,m,1,0.855
321,no_gap,conj,mm,1,0.795
321,no_gap,sing,m,0.875,0.644
321,no_gap,sing,mm,1,0.589
322,gap,conj,m,1,0.788
322,gap,conj,mm,1,0.85
322,gap,sing,m,0.875,0.95
322,gap,sing,mm,1,1.448
323,no_gap,conj,m,1,0.848
323,no_gap,conj,mm,1,1.202
323,no_gap,sing,m,1,1.112
323,no_gap,sing,mm,0.875,1.016
324,no_gap,conj,m,1,1.169
324,no_gap,conj,mm,1,1.085
324,no_gap,sing,m,1,1.096
324,no_gap,sing,mm,1,1.272
325,no_gap,conj,m,1,0.568
325,no_gap,conj,mm,1,0.654
325,no_gap,sing,m,0.875,1.408
325,no_gap,sing,mm,0.875,1.399
326,no_gap,conj,m,0.75,0.458
326,no_gap,conj,mm,1,0.513
326,no_gap,sing,m,1,0.645
326,no_gap,sing,mm,1,1
327,no_gap,conj,m,0.875,1.057
327,no_gap,conj,mm,1,0.841
327,no_gap,sing,m,1,1.104
327,no_gap,sing,mm,0.875,1.002
328,no_gap,conj,m,1,0.768
328,no_gap,conj,mm,1,0.958
328,no_gap,sing,m,1,0.909
328,no_gap,sing,mm,1,0.821
329,gap,conj,m,1,1.296
329,gap,conj,mm,0.875,1.574
329,gap,sing,m,0.875,1.264
329,gap,sing,mm,1,1.021
330,no_gap,conj,m,1,0.904
330,no_gap,conj,mm,1,0.832
330,no_gap,sing,m,0.875,0.722
330,no_gap,sing,mm,1,0.785
331,gap,conj,m,1,0.65
331,gap,conj,mm,0.875,0.642
331,gap,sing,m,1,0.727
331,gap,sing,mm,0.875,0.644
332,no_gap,conj,m,1,0.711
332,no_gap,conj,mm,1,0.751
332,no_gap,sing,m,1,0.585
332,no_gap,sing,mm,1,0.652
333,gap,conj,m,1,0.761
333,gap,conj,mm,0.875,1.051
333,gap,sing,m,0.875,1.136
333,gap,sing,mm,1,0.789
334,gap,conj,m,1,0.572
334,gap,conj,mm,0.875,0.54
334,gap,sing,m,0.875,0.479
334,gap,sing,mm,1,0.772
335,no_gap,conj,m,1,1.117
335,no_gap,conj,mm,1,1.312
335,no_gap,sing,m,1,1.991
335,no_gap,sing,mm,1,1.503
336,no_gap,conj,m,1,0.815
336,no_gap,conj,mm,0.875,0.913
336,no_gap,sing,m,0.25,1.09
336,no_gap,sing,mm,1,1.16
337,no_gap,conj,m,1,0.758
337,no_gap,conj,mm,1,0.575
337,no_gap,sing,m,1,0.51
337,no_gap,sing,mm,1,0.593
338,no_gap,conj,m,1,1.093
338,no_gap,conj,mm,1,1.163
338,no_gap,sing,m,0.875,1.026
338,no_gap,sing,mm,0.875,1.263
339,gap,conj,m,1,1.062
339,gap,conj,mm,0.875,1.265
339,gap,sing,m,0.875,0.83
339,gap,sing,mm,0.625,1.061
340,no_gap,conj,m,1,0.81
340,no_gap,conj,mm,1,0.868
340,no_gap,sing,m,1,0.716
340,no_gap,sing,mm,1,0.828
341,gap,conj,m,0.875,0.435
341,gap,conj,mm,1,0.498
341,gap,sing,m,0.875,0.49
341,gap,sing,mm,1,0.529
342,gap,conj,m,1,1.008
342,gap,conj,mm,1,0.946
342,gap,sing,m,1,0.878
342,gap,sing,mm,1,0.868
343,gap,conj,m,1,0.522
343,gap,conj,mm,1,0.529
343,gap,sing,m,0.875,0.741
343,gap,sing,mm,0.625,0.768
344,no_gap,conj,m,1,1.133
344,no_gap,conj,mm,1,1.081
344,no_gap,sing,m,1,1.341
344,no_gap,sing,mm,1,1.214
345,gap,conj,m,0.875,0.929
345,gap,conj,mm,1,1.258
345,gap,sing,m,1,0.89
345,gap,sing,mm,0.75,0.952
346,no_gap,conj,m,1,0.656
346,no_gap,conj,mm,0.875,0.651
346,no_gap,sing,m,1,0.754
346,no_gap,sing,mm,1,0.878
347,gap,conj,m,0.875,1.109
347,gap,conj,mm,0.75,1.155
347,gap,sing,m,1,1.427
347,gap,sing,mm,1,1.331
348,no_gap,conj,m,1,1.345
348,no_gap,conj,mm,1,1.137
348,no_gap,sing,m,1,0.884
348,no_gap,sing,mm,0.75,1.234
349,gap,conj,m,0.5,1.984
349,gap,conj,mm,0.75,2.501
349,gap,sing,m,1,2.307
349,gap,sing,mm,0.875,2.135
350,gap,conj,m,1,0.662
350,gap,conj,mm,0.625,0.647
350,gap,sing,m,1,0.885
350,gap,sing,mm,1,0.791
351,gap,conj,m,0.875,0.751
351,gap,conj,mm,1,0.749
351,gap,sing,m,1,0.613
351,gap,sing,mm,0.875,0.647
352,no_gap,conj,m,1,0.833
352,no_gap,conj,mm,1,0.781
352,no_gap,sing,m,0.75,0.564
352,no_gap,sing,mm,1,0.67
353,gap,conj,m,0.875,0.681
353,gap,conj,mm,0.875,0.752
353,gap,sing,m,1,0.77
353,gap,sing,mm,0.875,0.784
354,no_gap,conj,m,1,1.384
354,no_gap,conj,mm,1,1.454
354,no_gap,sing,m,1,1.023
354,no_gap,sing,mm,1,1.205
355,no_gap,conj,m,1,1.283
355,no_gap,conj,mm,1,1.435
355,no_gap,sing,m,1,1.292
355,no_gap,sing,mm,1,1.542
356,no_gap,conj,m,1,0.428
356,no_gap,conj,mm,1,0.524
356,no_gap,sing,m,0.875,0.54
356,no_gap,sing,mm,0.75,0.472
357,no_gap,conj,m,1,0.593
357,no_gap,conj,mm,1,0.735
357,no_gap,sing,m,0.875,0.78
357,no_gap,sing,mm,1,0.73
358,no_gap,conj,m,0.875,0.421
358,no_gap,conj,mm,1,0.486
358,no_gap,sing,m,1,0.576
358,no_gap,sing,mm,0.875,0.65
359,gap,conj,m,1,0.673
359,gap,conj,mm,0.875,0.641
359,gap,sing,m,0.875,0.618
359,gap,sing,mm,1,0.868
360,no_gap,conj,m,1,1.052
360,no_gap,conj,mm,1,1.024
360,no_gap,sing,m,0.875,1.085
360,no_gap,sing,mm,0.875,0.919
361,gap,conj,m,1,0.702
361,gap,conj,mm,0.875,0.604
361,gap,sing,m,0.625,0.525
361,gap,sing,mm,0.875,0.729
362,no_gap,conj,m,1,0.772
362,no_gap,conj,mm,1,0.693
362,no_gap,sing,m,0.75,0.865
362,no_gap,sing,mm,0.75,0.848
363,no_gap,conj,m,1,0.545
363,no_gap,conj,mm,1,0.611
363,no_gap,sing,m,1,0.732
363,no_gap,sing,mm,1,0.743
364,no_gap,conj,m,1,1.174
364,no_gap,conj,mm,1,1.112
364,no_gap,sing,m,1,1.181
364,no_gap,sing,mm,0.875,1.611
365,no_gap,conj,m,1,1.081
365,no_gap,conj,mm,1,1.354
365,no_gap,sing,m,0.875,0.803
365,no_gap,sing,mm,1,1.17
366,no_gap,conj,m,1,0.802
366,no_gap,conj,mm,0.875,0.896
366,no_gap,sing,m,0.875,0.817
366,no_gap,sing,mm,1,0.942
367,no_gap,conj,m,1,0.702
367,no_gap,conj,mm,1,0.88
367,no_gap,sing,m,1,0.582
367,no_gap,sing,mm,1,0.55
368,gap,conj,m,1,0.956
368,gap,conj,mm,1,0.677
368,gap,sing,m,1,0.782
368,gap,sing,mm,1,1.17
369,gap,conj,m,1,0.817
369,gap,conj,mm,0.875,1.1
369,gap,sing,m,1,1.258
369,gap,sing,mm,1,1.767
370,gap,conj,m,1,1.659
370,gap,conj,mm,1,2.023
370,gap,sing,m,1,1.283
370,gap,sing,mm,0.875,1.498
371,gap,conj,m,1,0.79
371,gap,conj,mm,0.875,0.887
371,gap,sing,m,1,0.97
371,gap,sing,mm,0.75,0.983
372,no_gap,conj,m,1,0.609
372,no_gap,conj,mm,1,0.718
372,no_gap,sing,m,1,0.793
372,no_gap,sing,mm,1,0.729
373,no_gap,conj,m,0.875,1.175
373,no_gap,conj,mm,1,0.843
373,no_gap,sing,m,1,0.855
373,no_gap,sing,mm,1,0.988
374,gap,conj,m,0.875,0.723
374,gap,conj,mm,0.625,0.71
374,gap,sing,m,0.875,0.646
374,gap,sing,mm,1,0.735
375,no_gap,conj,m,1,0.969
375,no_gap,conj,mm,1,0.874
375,no_gap,sing,m,1,1.173
375,no_gap,sing,mm,1,1.112
376,gap,conj,m,0.875,0.755
376,gap,conj,mm,1,0.724
376,gap,sing,m,0.875,0.561
376,gap,sing,mm,0.875,1.036
377,gap,conj,m,1,1.233
377,gap,conj,mm,0.75,2.075
377,gap,sing,m,0.875,2.072
377,gap,sing,mm,0.75,1.677
378,no_gap,conj,m,1,0.577
378,no_gap,conj,mm,1,0.574
378,no_gap,sing,m,1,0.606
378,no_gap,sing,mm,1,0.877
379,no_gap,conj,m,1,0.685
379,no_gap,conj,mm,0.875,0.676
379,no_gap,sing,m,1,1.026
379,no_gap,sing,mm,1,1.071
380,gap,conj,m,0.75,0.827
380,gap,conj,mm,1,1.153
380,gap,sing,m,0.875,0.737
380,gap,sing,mm,0.625,0.889
381,no_gap,conj,m,1,0.713
381,no_gap,conj,mm,1,0.724
381,no_gap,sing,m,1,0.67
381,no_gap,sing,mm,0.875,0.661
382,no_gap,conj,m,0.875,0.441
382,no_gap,conj,mm,1,0.456
382,no_gap,sing,m,1,0.532
382,no_gap,sing,mm,1,0.592
383,no_gap,conj,m,1,0.871
383,no_gap,conj,mm,1,0.754
