subj,task,feature,match,accuracy,RT
39,no_gap,conj,mm,1,1.281
39,no_gap,sing,m,0.875,0.406
39,no_gap,sing,mm,0.875,0.44
40,gap,conj,m,1,0.697
40,gap,conj,mm,1,0.612
40,gap,sing,m,1,0.914
40,gap,sing,mm,1,0.898
41,gap,conj,m,0.875,0.754
41,gap,conj,mm,1,1.288
41,gap,sing,m,0.875,0.723
41,gap,sing,mm,0.875,0.817
42,gap,conj,m,1,0.605
42,gap,conj,mm,0.875,0.766
42,gap,sing,m,1,0.45
42,gap,sing,mm,1,0.492
43,gap,conj,m,1,0.421
43,gap,conj,mm,1,0.796
43,gap,sing,m,1,0.857
43,gap,sing,mm,1,0.715
44,gap,conj,m,0.875,0.705
44,gap,conj,mm,1,0.673
44,gap,sing,m,1,1.084
44,gap,sing,mm,0.875,0.985
45,no_gap,conj,m,1,0.903
45,no_gap,conj,mm,1,1.142
45,no_gap,sing,m,1,0.452
45,no_gap,sing,mm,1,0.553
46,gap,conj,m,0.875,0.473
46,gap,conj,mm,1,0.489
46,gap,sing,m,1,0.794
46,gap,sing,mm,1,0.972
47,gap,conj,m,0.875,1.32
47,gap,conj,mm,0.75,1.351
47,gap,sing,m,0.875,1.415
47,gap,sing,mm,0.75,0.947
48,gap,conj,m,0.75,1.216
48,gap,conj,mm,1,0.722
48,gap,sing,m,0.5,0.44
48,gap,sing,mm,1,0.497
49,no_gap,conj,m,1,0.602
49,no_gap,conj,mm,0.875,0.613
49,no_gap,sing,m,1,1.228
49,no_gap,sing,mm,1,1.071
50,gap,conj,m,1,0.635
50,gap,conj,mm,0.875,0.704
50,gap,sing,m,0.875,1.059
50,gap,sing,mm,1,0.986
51,gap,conj,m,0.875,1.183
51,gap,conj,mm,1,1.073
51,gap,sing,m,1,0.968
51,gap,sing,mm,0.75,0.941
52,gap,conj,m,0.875,0.916
52,gap,conj,mm,0.875,1.024
52,gap,sing,m,0.875,0.664
52,gap,sing,mm,1,0.938
53,gap,conj,m,0.75,0.572
53,gap,conj,mm,1,0.634
53,gap,sing,m,1,1.033
53,gap,sing,mm,0.875,0.945
54,gap,conj,m,0.75,1.335
54,gap,conj,mm,1,1.012
54,gap,sing,m,1,0.503
54,gap,sing,mm,0.75,0.587
55,gap,conj,m,1,0.614
55,gap,conj,mm,1,0.992
55,gap,sing,m,0.875,1.04
55,gap,sing,mm,1,0.851
56,gap,conj,m,1,0.835
56,gap,conj,mm,1,0.916
56,gap,sing,m,1,0.906
56,gap,sing,mm,1,0.751
57,no_gap,conj,m,1,0.937
57,no_gap,conj,mm,1,1.246
57,no_gap,sing,m,1,0.934
57,no_gap,sing,mm,1,0.942
58,no_gap,conj,m,0.875,1.087
58,no_gap,conj,mm,1,0.967
58,no_gap,sing,m,0.75,1.24
58,no_gap,sing,mm,0.875,1.377
59,no_gap,conj,m,1,1.413
59,no_gap,conj,mm,1,1.404
59,no_gap,sing,m,1,1.341
59,no_gap,sing,mm,0.875,0.958
60,no_gap,conj,m,1,1.168
60,no_gap,conj,mm,0.75,0.937
60,no_gap,sing,m,1,1.443
60,no_gap,sing,mm,0.875,1.103
61,no_gap,conj,m,1,1.149
61,no_gap,conj,mm,1,1.597
61,no_gap,sing,m,0.875,1.412
61,no_gap,sing,mm,0.875,0.983
62,gap,conj,m,1,0.772
62,gap,conj,mm,0.875,0.859
62,gap,sing,m,0.875,0.594
62,gap,sing,mm,1,1.163
63,no_gap,conj,m,1,0.85
63,no_gap,conj,mm,1,0.779
63,no_gap,sing,m,1,0.862
63,no_gap,sing,mm,1,0.833
64,gap,conj,m,1,0.724
64,gap,conj,mm,0.75,0.704
64,gap,sing,m,1,1.081
64,gap,sing,mm,0.625,1.353
65,no_gap,conj,m,1,1.756
65,no_gap,conj,mm,1,1.504
65,no_gap,sing,m,1,1.403
65,no_gap,sing,mm,1,1.922
66,no_gap,conj,m,1,1.338
66,no_gap,conj,mm,1,1.472
66,no_gap,sing,m,1,0.928
66,no_gap,sing,mm,0.875,0.959
67,no_gap,conj,m,0.875,1.137
67,no_gap,conj,mm,1,1.245
67,no_gap,sing,m,1,1.25
67,no_gap,sing,mm,1,1.198
68,gap,conj,m,1,1.552
68,gap,conj,mm,0.875,1.245
68,gap,sing,m,1,0.758
68,gap,sing,mm,0.625,0.628
69,no_gap,conj,m,1,0.846
69,no_gap,conj,mm,1,0.735
69,no_gap,sing,m,1,0.691
69,no_gap,sing,mm,0.875,0.652
70,no_gap,conj,m,1,0.709
70,no_gap,conj,mm,1,0.77
70,no_gap,sing,m,0.875,1.002
70,no_gap,sing,mm,1,0.799
71,gap,conj,m,1,0.876
71,gap,conj,mm,1,0.808
71,gap,sing,m,1,1.548
71,gap,sing,mm,1,1.072
72,gap,conj,m,1,1.066
72,gap,conj,mm,0.75,1.407
72,gap,sing,m,0.875,0.767
72,gap,sing,mm,0.75,0.691
73,gap,conj,m,0.875,0.587
73,gap,conj,mm,0.875,0.57
73,gap,sing,m,0.875,0.98
73,gap,sing,mm,1,1.08
74,no_gap,conj,m,1,1.538
74,no_gap,conj,mm,1,1.41
74,no_gap,sing,m,0.875,0.646
