picture,term,Color_pic,Design
rakebrown_CHN.png,耙子,Y,Critical
sofapink_HKL.png,沙發,Y,Critical
spongepurple_CKW.png,枕頭,Y,Filler
staplergreen_LQN.png,被子,Y,Filler
stickgreen_LQN.png,小提琴,Y,Filler
tennisracketgreen_CWL.png,網球拍,Y,Critical
toothpastepink_CKW.png,衣架,Y,Filler
tvpurple_LTY.png,盒子,Y,Filler
umbrellared_Willy.png,雨傘,Y,Critical
airplane_CHN.png,信用卡,N,Filler
alarm_LQN.png,梳子,N,Filler
bat_CHN.png,球棒,N,Critical
bird_CWL.png,小鳥,N,Critical
boat_LTY.png,蝴蝶,N,Filler
bone_CKW.png,帽子,N,Filler
book_CWL.png,精裝書,N,Critical
bow_CHN.png,鉛筆,N,Filler
buckle_Jed.png,打火機,N,Filler
camera_Jed.png,鏟子,N,Filler
chalice_CKW.png,書桌,N,Filler
chalk_LQN.png,卡車,N,Filler
charger_LTY.png,毛巾,N,Filler
coaster_Jed.png,鑷子,N,Filler
deodorant_Jed.png,手錶,N,Filler
drainplug_LQN.png,長笛,N,Filler
duck_CHN.png,夾克,N,Filler
eraser_CKW.png,襪子,N,Filler
extension_CHN.png,車子,N,Filler
frame_CKW.png,書籤,N,Filler
goggles_CHN.png,支票,N,Filler
gun_CKW.png,剪刀,N,Filler
highlighter_Jed.png,毛線球,N,Filler
hockeystick_Jed.png,花瓶,N,Filler
icecream_CHN.png,盒裝衛生紙,N,Filler
iceskate_Jed.png,鬧鐘,N,Filler
icetray_LTY.png,門板,N,Filler
key_LTY.png,衣櫃,N,Filler
lego_LTY.png,花朵,N,Filler
lotion_CKW.png,錢包,N,Filler
magnet_LQN.png,瓶子,N,Filler
motorcycle_LQN.png,巴士,N,Filler
mp3player_Jed.png,盤子,N,Filler
notepad_CJJ.png,記事本,N,Critical
phone_Jed.png,手鐲,N,Filler
pipe_LQN.png,原子筆,N,Filler
plasticspoon_Willy.png,塑膠湯匙,N,Critical
pump_CKW.png,褲子,N,Filler
purse_HKL.png,手提包,N,Critical
rake_CHN.png,耙子,N,Critical
sofa_HKL.png,沙發,N,Critical
sponge_CKW.png,枕頭,N,Filler
spring_LQN.png,吉他,N,Filler
stapler_LQN.png,被子,N,Filler
tennisracket_CWL.png,網球拍,N,Critical
toothpaste_CKW.png,衣架,N,Filler
tv_LTY.png,盒子,N,Filler
umbrella_Willy.png,雨傘,N,Critical
