Subject,List,FirstorSecond,Accuracy,SentenceBlankPictureGrayACC,SentenceBlankPictureColorACC,SentenceColorPictureColorACC,SentenceColorPictureGrayscaleACC,SentenceBlankPictureGrayRT,SentenceBlankPictureColorRT,SentenceColorPictureColorRT,SentenceColorPictureGrayRT,Experiment
70,2,,0.979166667,1,1,0.916666667,1,879.5,982.5,913,1213.5,3
71,3,,0.979166667,1,0.916666667,1,1,440.5,412,412,431,3
72,4,,0.979166667,1,1,1,0.916666667,2251,2392,1704.5,1514,3
73,1,,0.979166667,0.916666667,1,1,1,1615,1353,1399,2393,3
74,2,,0.958333333,1,0.916666667,0.916666667,1,1218.5,1295,1102,1341.5,3
75,3,,1,1,1,1,1,1153.5,988.5,892,1157.5,3
76,4,,1,1,1,1,1,1930.5,1679.5,1504.5,1508,3
77,1,,0.958333333,0.916666667,1,1,0.916666667,955,1231.5,1026,1150,3
78,2,,1,1,1,1,1,1117.5,1063,1314.5,1288,3
79,3,,1,1,1,1,1,1196,1295,1293,1129.5,3
80,4,,1,1,1,1,1,668.5,563,481.5,552.5,3
81,1,,1,1,1,1,1,517,600.5,656,609.5,3
82,2,,0.979166667,1,0.916666667,1,1,1198,1074,1337.5,1224,3
83,3,,0.895833333,1,0.833333333,0.916666667,0.833333333,711.5,817,645,866.5,3
84,4,,0.979166667,1,1,1,0.916666667,1343,1765,1842,1387,3
85,1,,1,1,1,1,1,1335,1745.5,1302,1516.5,3
86,2,,1,1,1,1,1,1309.5,1381.5,1226,1572,3
87,3,,0.979166667,1,1,0.916666667,1,1098.5,1169,1200,1188,3
89,1,,1,1,1,1,1,951.5,882,900.5,904.5,3
90,2,,1,1,1,1,1,1285.5,1116,947,1044.5,3
92,4,,0.875,0.916666667,1,1,0.583333333,1286,1348.5,1258.5,1497,3
93,1,,1,1,1,1,1,1335.5,1266.5,1193.5,1537.5,3
94,2,,1,1,1,1,1,1010,904,1158,994,3
95,3,,1,1,1,1,1,1079,1289.5,885,951,3
96,4,,0.958333333,0.916666667,1,0.916666667,1,1170,1280,908,962,3
97,1,,0.979166667,0.916666667,1,1,1,1106,1275.5,1254.5,1246,3
98,2,,0.979166667,1,0.916666667,1,1,1363.5,1301,1605.5,1415.5,3
99,3,,1,1,1,1,1,1012.5,1268.5,1140.5,1358.5,3
100,4,,0.979166667,1,1,1,0.916666667,1427.5,1431,1414,1226,3
101,1,,0.979166667,1,1,1,0.916666667,2219,2435.5,2300,2540,3
