"Result ID","Start Time","Last Seen","Duration","Batch","Worker ID","Worker Type","State","Message"
"94755","2022/03/20 12:04:14","2022/03/20 12:36:26","00:33:47","Default","96895","General Single","FINISHED","none"
"94751","2022/03/20 11:45:12","2022/03/20 12:19:24","00:35:24","Default","96891","General Single","FINISHED","none"
"94746","2022/03/20 11:01:50","2022/03/20 11:42:03","00:40:55","Default","96887","General Single","FINISHED","none"
"94592","2022/03/20 01:19:06","2022/03/20 01:53:19","00:35:02","Default","96742","General Single","FINISHED","none"
"94427","2022/03/19 11:04:46","2022/03/19 14:43:55","03:41:08","Default","96661","General Single","FINISHED","none"
"94424","2022/03/19 10:52:24","2022/03/19 11:04:33","00:12:09 (not finished yet)","Default","96660","General Single","DATA_RETRIEVED","none"
"94422","2022/03/19 10:30:55","2022/03/19 11:05:10","00:34:15 (not finished yet)","Default","96658","General Single","DATA_RETRIEVED","none"
"94382","2022/03/19 08:38:22","2022/03/19 09:14:36","00:37:58","Default","96632","General Single","FINISHED","none"
"94313","2022/03/19 05:58:27","2022/03/19 06:34:40","00:37:05","Default","96565","General Single","FINISHED","none"
"94297","2022/03/19 02:22:36","2022/03/19 02:52:49","00:31:50","Default","96549","General Single","FINISHED","none"
"94294","2022/03/19 02:19:51","2022/03/19 04:43:45","02:23:54 (not finished yet)","Default","96546","General Single","DATA_RETRIEVED","none"
"94283","2022/03/19 01:53:17","2022/03/19 02:29:31","00:37:53","Default","96535","General Single","FINISHED","none"
"94243","2022/03/18 20:24:33","2022/03/18 20:56:45","00:33:20","Default","96502","General Single","FINISHED","none"
"94239","2022/03/18 19:56:43","2022/03/18 20:24:54","00:28:41","Default","96498","General Single","FINISHED","none"
"94238","2022/03/18 19:51:57","2022/03/18 20:54:23","01:04:22","Default","96497","General Single","FINISHED","none"
"94222","2022/03/18 18:22:09","2022/03/18 18:22:37","00:00:28 (not finished yet)","Default","96481","General Single","DATA_RETRIEVED","none"
"94211","2022/03/18 17:17:37","2022/03/18 17:47:50","00:30:15","Default","96477","General Single","FINISHED","none"
"94197","2022/03/18 16:26:20","2022/03/18 17:00:34","00:34:38","Default","96464","General Single","FINISHED","none"
"94195","2022/03/18 16:22:46","2022/03/18 16:52:59","00:31:37","Default","96462","General Single","FINISHED","none"
"94186","2022/03/18 16:04:59","2022/03/18 16:41:14","00:38:07","Default","96453","General Single","FINISHED","none"
"94168","2022/03/18 15:20:16","2022/03/18 16:06:34","00:46:18 (not finished yet)","Default","96438","General Single","DATA_RETRIEVED","none"
"94161","2022/03/18 15:04:59","2022/03/18 15:33:11","00:29:11","Default","96434","General Single","FINISHED","none"
"94152","2022/03/18 14:57:02","2022/03/18 14:59:07","00:02:05 (not finished yet)","Default","96426","General Single","DATA_RETRIEVED","none"
"94150","2022/03/18 14:49:18","2022/03/18 15:21:30","00:32:19","Default","96424","General Single","FINISHED","none"
"94148","2022/03/18 14:43:47","2022/03/18 15:54:09","01:10:40","Default","96423","General Single","FINISHED","none"
"94146","2022/03/18 14:43:25","2022/03/18 16:37:28","01:54:03 (not finished yet)","Default","96421","General Single","DATA_RETRIEVED","none"
"94139","2022/03/18 14:20:58","2022/03/18 14:55:24","00:34:54","Default","96417","General Single","FINISHED","none"
"94138","2022/03/18 14:12:40","2022/03/18 14:40:27","00:28:52","Default","96416","General Single","FINISHED","none"
"94136","2022/03/18 14:02:10","2022/03/18 14:38:22","00:36:34","Default","96414","General Single","FINISHED","none"
"94132","2022/03/18 13:54:16","2022/03/18 13:54:20","00:00:04 (not finished yet)","Default","96410","General Single","DATA_RETRIEVED","none"
"94131","2022/03/18 13:53:04","2022/03/18 14:13:25","01:08:24","Default","96409","General Single","FINISHED","none"
"94129","2022/03/18 13:49:54","2022/03/18 14:22:07","00:33:52","Default","96407","General Single","FINISHED","none"
"94128","2022/03/18 13:46:18","2022/03/18 14:38:43","00:52:25 (not finished yet)","Default","96406","General Single","DATA_RETRIEVED","none"
"94127","2022/03/18 13:42:42","2022/03/18 14:10:53","00:28:45","Default","96405","General Single","FINISHED","none"
"94124","2022/03/18 13:25:44","2022/03/18 14:11:59","00:47:50","Default","96402","General Single","FINISHED","none"
"94122","2022/03/18 13:22:43","2022/03/18 13:22:53","00:00:10 (not finished yet)","Default","96400","General Single","DATA_RETRIEVED","none"
"94112","2022/03/18 13:08:33","2022/03/18 13:08:37","00:00:04 (not finished yet)","Default","96392","General Single","DATA_RETRIEVED","none"
"94094","2022/03/18 12:18:38","2022/03/18 12:32:46","00:14:08 (not finished yet)","Default","96376","General Single","DATA_RETRIEVED","none"
"93440","2022/03/16 13:33:05","2022/03/16 14:54:30","01:21:25 (not finished yet)","Default","95818","General Single","DATA_RETRIEVED","none"
"91317","2022/03/10 15:08:35","2022/03/10 22:15:11","07:06:36 (not finished yet)","Default","93851","General Single","DATA_RETRIEVED","none"
"91303","2022/03/10 14:50:44","2022/03/10 14:50:53","00:00:09 (not finished yet)","Default","93838","General Single","DATA_RETRIEVED","none"
"89035","2022/03/06 15:36:53","2022/03/06 16:19:10","00:43:41","Default","91755","General Single","FINISHED","none"
"88866","2022/03/06 13:03:17","2022/03/06 13:54:00","00:51:46","Default","91587","General Single","FINISHED","none"
"88422","2022/03/05 08:55:02","2022/03/05 09:43:32","00:49:37","Default","91171","General Single","FINISHED","none"
"88421","2022/03/05 08:54:03","2022/03/05 09:44:22","00:50:35","Default","91170","General Single","FINISHED","none"
"88256","2022/03/04 16:27:58","2022/03/04 17:04:14","00:36:31","Default","91005","General Single","FINISHED","none"
"87905","2022/03/03 15:09:51","2022/03/03 16:12:32","01:02:50","Default","90704","General Single","FINISHED","none"
"87904","2022/03/03 15:08:27","2022/03/03 15:08:31","00:00:04 (not finished yet)","Default","90703","General Single","DATA_RETRIEVED","none"
"87321","2022/03/02 14:36:10","2022/03/02 16:02:40","01:26:30 (not finished yet)","Default","90139","General Single","DATA_RETRIEVED","none"
"87216","2022/03/02 10:38:52","2022/03/02 11:05:03","00:26:11 (not finished yet)","Default","90055","General Single","DATA_RETRIEVED","none"
"87214","2022/03/02 10:37:51","2022/03/02 10:37:54","00:00:03 (not finished yet)","Default","90054","General Single","DATA_RETRIEVED","none"
"87207","2022/03/02 10:16:18","2022/03/02 10:48:30","00:33:10","Default","90047","General Single","FINISHED","none"
"87161","2022/03/02 07:29:36","2022/03/02 07:29:39","00:00:03 (not finished yet)","Default","90004","General Single","DATA_RETRIEVED","none"
"87139","2022/03/02 03:15:44","2022/03/02 04:01:57","00:47:56","Default","89982","General Single","FINISHED","none"
"86501","2022/02/28 12:17:09","2022/02/28 12:59:33","00:43:45","Default","89433","General Single","FINISHED","none"
"86288","2022/02/27 12:06:09","2022/02/27 12:40:23","00:34:14 (not finished yet)","Default","89234","General Single","DATA_RETRIEVED","none"
"86202","2022/02/27 03:11:23","2022/02/27 03:47:38","00:36:40","Default","89150","General Single","FINISHED","none"
"86131","2022/02/26 13:45:25","2022/02/26 14:35:37","00:51:03","Default","89084","General Single","FINISHED","none"
"85921","2022/02/25 14:32:18","2022/02/25 14:34:22","00:02:04 (not finished yet)","Default","88885","General Single","DATA_RETRIEVED","none"
"85756","2022/02/25 08:50:58","2022/02/25 09:31:11","00:40:56","Default","88645","General Single","FINISHED","none"
