"Result ID","Start Time","Last Seen","Duration","Batch","Worker ID","Worker Type","State","Message"
"96945","2022/03/25 12:48:10","2022/03/25 13:14:23","00:26:13 (not finished yet)","Default","98621","General Single","DATA_RETRIEVED","none"
"96806","2022/03/25 03:39:49","2022/03/25 03:39:53","00:00:04 (not finished yet)","Default","98511","General Single","DATA_RETRIEVED","none"
"96805","2022/03/25 02:25:06","2022/03/25 02:25:11","00:00:05 (not finished yet)","Default","98510","General Single","DATA_RETRIEVED","none"
"96804","2022/03/25 02:22:57","2022/03/25 02:23:02","00:00:05 (not finished yet)","Default","98509","General Single","DATA_RETRIEVED","none"
"96571","2022/03/24 14:41:11","2022/03/24 17:22:11","12:41:04","Default","98318","General Single","FINISHED","none"
"96562","2022/03/24 14:16:04","2022/03/24 14:16:08","00:00:04 (not finished yet)","Default","98309","General Single","DATA_RETRIEVED","none"
"96507","2022/03/24 10:40:05","2022/03/24 11:14:23","00:35:14","Default","98258","General Single","FINISHED","none"
"96494","2022/03/24 10:04:20","2022/03/24 10:34:40","00:30:41","Default","98246","General Single","FINISHED","none"
"96481","2022/03/24 09:28:31","2022/03/24 09:56:45","00:29:42","Default","98239","General Single","FINISHED","none"
"96459","2022/03/24 08:05:53","2022/03/24 08:05:57","00:00:04 (not finished yet)","Default","98221","General Single","DATA_RETRIEVED","none"
"96452","2022/03/24 07:24:55","2022/03/24 07:24:59","00:00:04 (not finished yet)","Default","98217","General Single","DATA_RETRIEVED","none"
"96448","2022/03/24 07:15:26","2022/03/24 08:43:54","01:28:50","Default","98213","General Single","FINISHED","none"
"96445","2022/03/24 07:09:32","2022/03/24 07:56:03","00:46:39","Default","98212","General Single","FINISHED","none"
"96442","2022/03/24 06:59:53","2022/03/24 07:44:12","00:44:27","Default","98209","General Single","FINISHED","none"
"96418","2022/03/24 05:15:11","2022/03/24 07:04:06","01:48:55 (not finished yet)","Default","98188","General Single","DATA_RETRIEVED","none"
"96417","2022/03/24 05:10:00","2022/03/24 05:40:14","00:32:05","Default","98187","General Single","FINISHED","none"
"96407","2022/03/24 03:11:00","2022/03/24 03:13:50","00:02:50 (not finished yet)","Default","98179","General Single","DATA_RETRIEVED","none"
"96406","2022/03/24 03:07:08","2022/03/24 03:07:15","00:00:07 (not finished yet)","Default","98178","General Single","DATA_RETRIEVED","none"
"96405","2022/03/24 02:59:10","2022/03/24 06:10:03","03:10:53 (not finished yet)","Default","98177","General Single","DATA_RETRIEVED","none"
"96403","2022/03/24 02:50:34","2022/03/24 04:08:57","01:19:19","Default","98175","General Single","FINISHED","none"
"96279","2022/03/23 17:17:34","2022/03/23 17:47:45","00:31:47","Default","98088","General Single","FINISHED","none"
"96228","2022/03/23 15:17:39","2022/03/23 15:45:56","00:28:49","Default","98039","General Single","FINISHED","none"
"96217","2022/03/23 14:57:26","2022/03/23 15:43:06","00:47:18","Default","98028","General Single","FINISHED","none"
"96208","2022/03/23 14:47:28","2022/03/23 15:56:08","01:09:25","Default","98020","General Single","FINISHED","none"
"96207","2022/03/23 14:45:21","2022/03/23 14:47:26","00:02:05 (not finished yet)","Default","98019","General Single","DATA_RETRIEVED","none"
"96190","2022/03/23 14:19:11","2022/03/23 15:07:36","00:49:14","Default","98011","General Single","FINISHED","none"
"96186","2022/03/23 14:12:56","2022/03/23 15:45:24","01:32:41","Default","98008","General Single","FINISHED","none"
"96174","2022/03/23 13:37:59","2022/03/23 14:06:18","00:28:27","Default","97999","General Single","FINISHED","none"
"96165","2022/03/23 13:22:16","2022/03/23 14:30:52","01:10:21","Default","97993","General Single","FINISHED","none"
"96161","2022/03/23 13:15:17","2022/03/23 13:55:33","00:40:17","Default","97990","General Single","FINISHED","none"
